Name,Description,founded year,total funding amount (in usd),number of funding rounds,last funding date,last funding amount (in usd),city,region,country,investor names,founder names,number of employees,sector,website,linkedin url,market_size_billion,cagr_percent,timing_score,competitor_count,market_stage,confidence_score_market,us_sentiment,sea_sentiment,total_funding_billion,momentum_score
Eltropy,"Eltropy enables Financial Institutions to digitally engage in a secure and compliant way via Text, Video, Audio, Secure Chat and Social Messaging. Using our world-class digital communications platform, Credit Unions, Banks, Debt Collectors, Insurance Companies, Lenders and FinTechs can improve operations, engagement and productivity.  Eltropy also integrates with IT systems, such as Symitar and Corelation, and uses Analytics to provide engagement insights.",2013,25000000.0,1,2021-06-16,25000000.0,Santa Clara,California,United States,Curql|K1 Investment Management|TruStage Ventures,Ashish Garg|Chandra Bhople,175,"""Digital Communication Solutions for Financial Institutions""",http://www.eltropy.com/,https://www.linkedin.com/company/eltropy,12.0,15.0,3.8,20,unknown,0.85,4.2,3.8,1.5,3.9
WEKA,"WEKA is the AI-native data platform company that is setting the standard for AI infrastructure with the industry’s only cloud and hardware-agnostic software solution for performance-intensive applications. The WEKA® Data Platform delivers unprecedented performance at scale, transforming stagnant data silos into dynamic data pipelines that help enterprise AI, ML, and GPU workloads run faster and more efficiently and providing seamless data access on-premises, in the cloud, at the edge, and in hybrid and multicloud environments. WEKA helps hundreds of the world’s leading enterprises and preeminent research organizations overcome complex data challenges to reach discoveries, insights, and outcomes faster – including 11 of the Fortune 50.",2013,415100000.0,6,2024-05-15,140000000.0,Campbell,California,United States,Norwest Venture Partners|NVIDIA|Valor Equity Partners|Cisco Investments|Hewlett Packard Enterprise,Liran Zvibel|Maor BenDayan|Omri Palmon,375,"""AI-Driven Data Management and Infrastructure Solutions""",http://www.weka.io/,https://www.linkedin.com/company/weka-io,1.5,20.0,3.5,25,growth,0.85,3.8,3.2,0.3,3.5
Exiger,"Exiger provides technology-enabled risk and compliance services to help heavily regulated firms, critical infrastructure organizations, defense contractors, financial institutions, and government agencies navigate risk and compliance.",2013,182000000.0,3,2022-08-31,32000000.0,New York,New York,United States,Monroe Capital|Carrick Capital Partners,Michael Beber|Michael Cherkasky,7500,"""AI-Driven Risk and Compliance Management Solutions""",http://www.exiger.com/,https://www.linkedin.com/company/exiger,1.2,12.5,3.5,15,unknown,0.85,3.8,3.2,0.5,3.7
Tredence,Tredence provides an AI-enabled data strategy solution focusing on the last-mile problem. It bridges the gap between insights delivery and value realization by enabling last-mile adoption of data science.,2013,205000000.0,2,2022-12-22,175000000.0,San Jose,California,United States,Advent International|Chicago Pacific Founders,Shashank Dubey|Shub Bhowmick|Sumit Mehra,3000,"""AI-Driven Data Strategy and Adoption Solutions""",http://tredence.com/,https://www.linkedin.com/company/tredence,1.5,30.0,2.5,15,unknown,0.85,3.5,2.8,0.3,2.8
Knightscope,"Knightscope develops autonomous security robots that predict and prevent crimes. Its technology is a combination of self-driving technology, robotics, and artificial intelligence. It markets the K1 stationary machine, the K3 indoor machine, and the K5 outdoor machine. A K7 multi-terrain four-wheel version is under development.",2013,113765000.0,25,2025-03-28,1700000.0,Mountain View,California,United States,Plug and Play|NTT DOCOMO Ventures|Sahin Boydas|SeedInvest|UpHonest Capital,Stacy Dean Stephens|William Santana Li,75,"""Autonomous Security Robotics and Predictive Crime Prevention""",http://www.knightscope.com/,https://www.linkedin.com/company/knightscope-inc-,1.2,15.0,3.5,20,unknown,0.85,4.0,3.5,0.3,3.8
Iterate.ai,"Iterate.ai’s Interplay is an Enterprise AI platform simple, safe, and quick way to build complex AI applications. Enterprises use Interplay to build advanced apps  with modularized pre-built components, then push those apps into production. Interplay supports end-end AI application development from data analytics, computer vision to generative AI. It's used as a rapid application platform by large companies like Circle K, Ulta Beauty, Driven Brands, Pampered Chef, and many others. As an AI platform, it operates Pay-by-Plate (frictionless payments at the gas pump) in Europe, Weapons Detection (to predict robberies), AI-based Chat, online personalization for commerce sites, computer vision applications for damage estimation, and much more. It also helps companies bring AI apps 10X to 17X faster than old ways. We're growing pretty fast and profitable. See Demos and Use Cases at:  https://www.iterate.ai/use-cases https://interplay.iterate.ai/",2013,10697499.0,5,2025-06-12,6400000.0,San Jose,California,United States,Haatch|Auxier Asset Management LLC.|Peter Cobb|Dave Zentmyer|Mike Edwards,Andrew Wichern|Brian Sathianathan|Gregarious Narain|Igor Shoifot|Joanne Wichern|John Grech|Jon Nordmark|Scott Anderson,75,"""Enterprise AI Application Development Platform""",https://www.iterate.ai/,https://www.linkedin.com/company/iterateai,1.2,35.0,3.8,20,growth,0.85,4.0,3.5,0.5,3.7
Cohesity,"Cohesity is a data management technology company that provides hyper-converged secondary storage solutions for backups, file services, and analytics. With the Cohesity Data Cloud, organizations can secure, manage, and recover data at an enterprise scale while gaining insights through AI capabilities.",2013,955000000.0,10,2024-12-10,,San Jose,California,United States,Accel|Sequoia Capital|NVIDIA|Cisco Investments|Haveli Investments,Mohit Aron,3000,"""Hyper-Converged Data Management and Analytics Solutions""",https://www.cohesity.com/,https://www.linkedin.com/company/cohesity/,0.5,30.0,3.5,15,growth,0.85,3.8,3.2,0.3,3.5
Recursion Pharmaceuticals,"Recursion is a clinical-stage biotechnology company decoding biology by integrating technological innovations across biology, chemistry, automation, data science, and engineering, with the goal of radically improving the lives of patients and industrializing drug discovery. Central to our mission is the Recursion Operating System, or Recursion OS, that combines an advanced infrastructure layer to generate what we believe is one of the world's largest and fastest-growing proprietary biological and chemical datasets and the Recursion Map, a suite of custom software, algorithms, and machine learning tools that we use to explore foundational biology unconstrained by human bias and navigate to new biological insights which may accelerate our programs. We are a biotechnology company scaling more like a technology company.",2013,865376000.0,19,2024-06-26,200000000.0,Salt Lake City,Utah,United States,Menlo Ventures|NVIDIA|Bill & Melinda Gates Foundation|Two Sigma Ventures|Catalio Capital Management,Blake Borgeson|Chris Gibson|Dean Li,375,"""AI-Driven Drug Discovery and Development Platform""",https://www.recursion.com/,https://www.linkedin.com/company/recursion-pharmaceuticals,0.15,12.5,2.5,10,unknown,0.85,3.0,2.5,0.2,2.8
Clarifai,"Clarifai is a leading, full-lifecycle deep learning AI platform for computer vision, natural language processing, and audio recognition. We help organizations transform unstructured images, video, text, and audio data into structured data at a significantly faster and more accurate rate than humans would be able to do on their own. Founded in 2013 by Matt Zeiler, Ph.D. Clarifai has been a market leader in AI since winning the top five places in image classification at the 2013 ImageNet Challenge. Clarifai continues to grow with employees remotely based throughout the United States, Canada, Estonia, Argentina & India.",2013,100000000.0,3,2021-10-15,60000000.0,Fort Lee,New Jersey,United States,Menlo Ventures|New Enterprise Associates|Union Square Ventures|Lux Capital|Corazon Capital,Matthew Zeiler,175,"""AI-Driven Computer Vision and Data Processing Solutions""",https://clarifai.com/,https://www.linkedin.com/company/clarifai,0.3,20.0,2.5,15,unknown,0.85,3.5,2.5,0.15,2.8
Kontakt.io,"Kontakt.io utilizes cloud, AI, and IoT (RTLS) technology to provide inpatient and indoor journey analytics. The company assists businesses in identifying inefficiencies, optimizing resources, enhancing workflows, and fostering a sense of recognition and appreciation among customers and staff.",2013,68765000.0,7,2024-04-16,47500000.0,New York,New York,United States,European Investment Bank|Heartcore Capital|Goldman Sachs Asset Management|Credo Ventures|iEurope Capital,Philipp von Gilsa|Szymon Niemczura,175,"""AI-Driven Indoor Positioning and Analytics Solutions""",http://kontakt.io/,http://www.linkedin.com/company/kontakt-io,0.15,49.4,3.5,25,growth,0.85,3.8,3.5,0.2,3.8
Avathon,"Avathon is an artificial intelligence technology startup that builds AI technology solutions for industrial applications. A highly awarded company recognized for cutting-edge technology, Avathon develops AI-Powered cyber-physical software for the safety, security, and reliability of IT, OT, and the IoT.  The company's technology is capable of harnessing real-time sensor data and learning from it continuously, allowing for more accurate risk mitigation and prevention policies to intervene and avert disasters. Avathon cognitive software, DeepArmor, is utilized to prevent and detect malware with a high level of accuracy and efficacy by using advanced machine learning and artificial intelligence. They help customers analyze complex data, empower decision making, and transform human and industrial productivity with award-winning machine learning technology and expert teams focused on defense, IIoT, and finance.",2013,286581738.0,9,2024-04-13,,Pleasanton,California,United States,Temasek Holdings|The Boeing Company|Energize Capital|US Department of Energy|Dalus Capital,Amir Husain,375,"""AI-Driven Industrial Cybersecurity Solutions""",https://avathon.com/,https://www.linkedin.com/company/avathonai,0.5,20.0,2.5,10,unknown,0.85,3.0,2.5,0.1,2.8
Microblink,"Microblink is an artificial intelligence platform that leverages computer vision and machine learning to bring the benefits of AI to every person on earth.  We work with enterprises that believe the customer experience is the primary driver of value. With products in digital identity and commerce, Microblink touches hundreds of millions of people every year - over 700M identity documents processed and 3B in individual consumer purchases.  With customers that span 20+ industries and 5 continents, and offices in the US and Europe, Microblink is a global company with local insights.",2013,60000000.0,2,2020-12-16,60000000.0,Brooklyn,New York,United States,Silversmith Capital Partners|Cherubic Ventures,Damir Sabol|Darren Bassman|Izet Zdralovic|Jurica Cerovec|Patrick Questembert|Sasa Skevin,175,"""AI-Driven Identity Verification and Image Recognition Solutions""",https://microblink.com/?utm_source=crunchbase&utm_medium=social&utm_campaign=crunchbase-page-info&utm_content=web-site,http://www.linkedin.com/company/microblink,1.2,15.0,3.5,15,unknown,0.85,3.8,3.2,0.3,3.0
Techcyte,"Techcyte is a cloud-based, SaaS provider and world leader in AI-based cellular digital diagnostics. that uses deep learning image analysis to help labs and clinics become more efficient and accurate. The platform is HIPAA compliant, CE marked and supports tests across hematology, cytology, bacteriology and parasitology.  Techcyte's has solutions for human, veterinary and environmental clinics and labs.  Techcyte’s Clinical Pathology AI Platform uses deep machine learning to perform automated analysis of whole slide microscopy images, revolutionizing digital diagnostics for human, animal, and environmental clinics and labs.",2013,35400000.0,4,2024-01-10,8400000.0,Orem,Utah,United States,ARUP Laboratories|Zoetis,Ben Cahoon|Ralph Yarro|Richard Smith|Troy Bankhead,175,"""AI-Driven Cellular Diagnostics for Healthcare and Labs""",https://www.techcyte.com/,https://linkedin.com/company/techcyte,0.3,20.0,2.5,10,unknown,0.85,3.0,2.0,0.15,2.5
CarePredict,"CarePredict develops an AI-driven digital health platform for senior care. Its patented solution uses advanced remote sensing technologies, deep-machine learning, and user-friendly dashboards to continuously observe, learn, and trigger just-in-time care for seniors. Its sensing technologies permit the autonomous observation and collection of rich data sets about a user’s activities of daily living (ADLs). These rich data sets are then parsed within our deep learning systems to learn the behavior patterns of each senior and identify prescient changes in those patterns. The final predictions and alerts are then served up as actionable wellness insights to caregivers on our automated digital dashboards on browsers and smart devices.",2013,48690000.0,7,2023-07-12,29000000.0,Plantation,Florida,United States,Las Olas Venture Capital|StartUp Health|HealthTech Capital|Vectr|Aspire Health Partners,Satish Movva,30,"""AI-Driven Senior Care Monitoring Solutions""",https://www.carepredict.com/,https://www.linkedin.com/company/carepredict/,3.2,17.7,3.5,25,growth,0.85,4.0,3.5,0.3,3.0
Sourcegraph,"Sourcegraph makes universal code search so developers can work on solving problems, not struggle with finding code. With rapidly growing codebases, a proliferating number of repos, multiple languages and file formats, and a wide variety of developer tools, Sourcegraph empowers developers to quickly find, fix, and better understand all code faster. Code navigation and code exploration improve developer productivity, contextual code intelligence enables better code reviews and onboarding for new hires, and code change campaigns automate large-scale changes. Sourcegraph is backed by top-tier investors including Sequoia Capital, Redpoint Ventures, Goldcrest Capital, and Lightspeed Venture Partners. It was founded by Quinn Slack and Beyang Liu in 2013 and is a remote workplace with headquarters in San Francisco, California.",2013,248000000.0,7,2021-07-13,150000000.0,San Francisco,California,United States,Andreessen Horowitz|Sequoia Capital|Insight Partners|Craft Ventures|Lux Capital,Beyang Liu|Quinn Slack,175,"""Universal Code Search and Developer Productivity Tools""",https://about.sourcegraph.com/,https://www.linkedin.com/company/sourcegraph,0.3,18.0,3.5,15,growth,0.85,3.8,3.2,0.15,3.7
AEye,"AEye’s unique software-defined lidar solution enables advanced driver-assistance, vehicle autonomy, smart infrastructure and logistics applications that save lives and propel the future of transportation and mobility. AEye’s 4Sight™ Intelligent Sensing Platform, with its adaptive sensor-based operating system, focuses on what matters most: delivering faster, more accurate, and reliable information. AEye’s 4Sight™ products, built on this platform, are ideal for dynamic applications which require precise measurement imaging to ensure safety and performance. AEye has a global presence through its offices in Germany, Korea, and the United States.",2013,364146590.0,11,2024-07-29,50000000.0,Dublin,California,United States,Kleiner Perkins|SBI Investment|Airbus Ventures|Tyche Partners|Pegasus Tech Ventures,Barry Behnken|Jordan Greene|Luis Dussan|Ransom Wuller,75,"""Advanced Lidar Solutions for Autonomous Vehicle Safety""",http://www.aeye.ai/,https://www.linkedin.com/company/aeye-inc.?trk=biz-companies-cym,0.15,20.0,2.5,10,unknown,0.85,3.0,2.0,0.1,2.0
Bluecore,"Bluecore is a Multi-Channel Marketing Platform that uses predictive intelligence to trigger, prioritize, and personalize retail marketing. By unifying, scoring, and activating consumer, behavior, and product data in one platform, Bluecore paints a comprehensive picture of each shopper and their historical,  and most uniquely, anticipated relationship with brand products and experiences. Today, Bluecore manages nearly 500 million shopper IDs and a cumulative product catalog second only to Amazon.",2013,263165122.0,8,2024-11-12,24945670.0,New York,New York,United States,Norwest Venture Partners|Gaingels|Techstars|Georgian|Felicis,Fayez Mohamood|Mahmoud Arram|Max Bennett,375,"""Predictive Retail Marketing Automation Platform""",https://www.bluecore.com/,https://www.linkedin.com/company/bluecore/,3.5,13.5,3.8,20,unknown,0.85,4.2,3.7,0.8,3.9
Quantiphi,"Quantiphi is a category defining Data Science and Machine Learning software and services company focused on helping organizations translate the big promise of Big Data & Machine Learning technologies into quantifiable business impact. Quantiphi helps clients find and capture hidden value from data through a unique blend of business acumen, big-data, machine learning, and intuitive information design. Its signature approach combines deep industry experience, disciplined cloud, and data-engineering practices and cutting-edge Machine Learning research to achieve quantifiable impact. Quantiphi was founded in 2013 and is headquartered in Marlborough, Massachusetts.",2013,23410000.0,2,2019-12-19,20000000.0,Marlborough,Massachusetts,United States,Multiples,Asif Hasan|Reghu Hariharan|Ritesh Patel|Vivek Khemani,3000,"""AI-Driven Data Analytics and Machine Learning Solutions""",http://www.quantiphi.com/,https://www.linkedin.com/company/quantiphi/,1.2,53.6,3.8,25,growth,0.85,4.0,3.5,0.3,3.5
PushPress,"PushPress provides a painless end-to-end management platform for boutique gyms, fitness studios, and personal trainers to help them achieve scale and provide best-in-class member experiences. As the leading gym management software, PushPress uses innovative integrations and key products like Core, Grow, Train, Branded App, and Insurance to help gym owners with everything from billing and scheduling to lead generation and progress tracking, so they can spend less time on operations and more time serving clients.",2013,31500000.0,4,2024-10-30,20000000.0,Claymont,Delaware,United States,Altos Ventures|Mucker Capital|Calm Company Fund|StepStone,Brian Aung|Chris McConachie|Dan Uyemura,175,"""Gym Management Software for Boutique Fitness Studios""",https://pushpress.com/,https://www.linkedin.com/company/pushpress/,15.5,12.5,4.2,25,unknown,0.85,4.5,4.0,2.1,4.0
Splice,"Splice helps music creators bring their ideas to life. Through a vast, industry-leading catalog of high-quality licensed samples, paired with powerful AI, the platform accelerates deep sound discovery and inspiration. Committed every day to empowering music creators everywhere, Splice also provides affordable access to plugins and DAWs through a rent-to-own gear marketplace. The New York based startup (Co-founded by Steve Martocci and Matt Aimonetti) closed a Series D round in November 2020 and is led by CEO Kakul Srivastava.",2013,159749998.0,6,2021-02-22,55000000.0,New York,New York,United States,BoxGroup|Union Square Ventures|WME|SV Angel|Inspired Capital Partners,Matt Aimonetti|Steve Martocci,175,"""AI-Enhanced Music Creation and Collaboration Platform""",http://splice.com/,http://www.linkedin.com/company/splice-com,0.1,20.0,2.0,5,unknown,0.85,2.5,2.0,0.05,2.0
Sensor Tower,"Understanding and winning the hearts and minds of new customers across new and emerging digital marketplaces is the objective of every modern business. But capitalizing on the next hot trend, while avoiding flashy duds is a constant challenge. Sensor Tower is a market research company who invented Consumer Lifecycle Intelligence (CLI), a new breed of market intelligence that helps inform the strategies and tactics organizations employ to stay one step ahead of their competition. We operate ongoing, proprietary real-time statistical panels that are constantly learning what matters to people all over the world. Our platform is known for its responsibly-sourced data insights that come from real people. Sensor Tower insights complement enterprise data, which inherently sees the world from the company’s vantage point, looking out at the world. We call that “inside-out” data. By instrumenting the digital panes of glass through which consumers view and interact with the global digital economy, CLI delivers “outside-in” insights that answer questions enterprise data can’t. CLI understands the lifecycle of consumers spanning data-rich interaction types—including in app usage, purchases, advertising impressions, and more—across mobile apps, social media, streaming media, websites, digital payments, and more. Sensor Tower insights help shape the strategies of the top companies in the world.",2013,46000000.0,3,2020-05-04,45000000.0,San Francisco,California,United States,Pear VC|Riverwood Capital|AngelPad|Merus Capital|1745 Ventures,Alex Malafeev|Oliver Yeh,375,"""Consumer Lifecycle Intelligence Market Research Solutions""",http://sensortower.com/,https://www.linkedin.com/company/sensor-tower,1.5,15.0,3.8,20,unknown,0.85,4.2,3.8,0.8,3.7
RADAR,"RADAR is an RFID and computer vision platform that automates inventory management, analytics, and check-out in physical stores. The company offers to manage inventory efficiently, through automated inventory counts, improved in-store replenishment, and instantaneous customer stock checks, measure all customer-product interactions, giving physical stores the same insight into consumer behavior and product performance as online stores; and eliminate checkout lines altogether through its autonomous checkout tool.",2013,139658997.0,15,2024-06-11,19700000.0,New York,New York,United States,Y Combinator|NTT DOCOMO Ventures|Sound Ventures|Colle Capital Partners|Align Ventures,Adam Blair|Michael E. Murphy|Spencer Hewett,175,"""RFID-Enabled Retail Inventory Management Solutions""",https://goradar.com/,https://www.linkedin.com/company/useradar,0.5,15.0,3.5,20,unknown,0.85,4.0,3.5,0.3,3.8
Springbok Analytics,"Springbok Analytics offers an AI-powered software platform that transforms MRIs into three-dimensional analyses of muscle to enable true precision. Springbok Analytics' advanced imaging technology identifies and measures each individual muscle, providing data to scientists, physical therapists, athletic trainers, and physicians to evaluate muscle function in relation to performance and injury management. The technology has numerous applications, including injury management, performance enhancement, and the treatment of musculoskeletal conditions.",2013,11162567.0,6,2025-01-24,5000000.0,Charlottesville,Virginia,United States,National Science Foundation|Alumni Ventures|TitletownTech|Getty Images|National Institutes of Health,Craig Meyer|Joe Hart|Scott Magargee|Silvia Blemker,30,"""AI-Driven Muscle Imaging and Performance Analytics""",http://www.springbokanalytics.com/,https://www.linkedin.com/company/springbok-analytics/about/,0.1,30.0,2.5,10,unknown,0.85,2.8,2.5,0.15,2.7
Paravision,"Leveraging the latest advances in deep learning, Paravision’s industry-leading Vision AI software is trusted globally by security device manufacturers, solution providers, systems integrators and financial services firms to deliver frictionless experiences and comprehensive safety and security. From the latest in Edge AI platforms to cloud-ready solutions, Paravision powers computer vision-centric solutions with modular, highly scalable toolsets that deliver breakthrough capabilities under the most challenging conditions. Paravision has developed deep expertise in face recognition specifically and strives to consistently raise the bar for face recognition technology in accuracy, security, inclusion and convenience. Paravision has consistently ranked among the top global performers in NIST’s gold standard Face Recognition Technology Evaluations, including 1:1 Verification, 1:N Identification, Face Mask Effects and Paperless Travel, and matches these benchmarks with breakthrough performance in a wide variety of identity-centric applications around the world.",2013,52000000.0,7,2021-05-12,23000000.0,San Francisco,California,United States,Khosla Ventures|Trinity Capital|SV Angel|Felicis|J2 Ventures,Andrew Dudum|Charlie Melbye|Don Holly|Jon Mumm,30,"""AI-Driven Facial Recognition and Security Solutions""",https://paravision.ai/,https://www.linkedin.com/company/paravision-ai/,1.92,27.7,4.2,25,growth,0.85,4.5,3.8,0.5,4.0
