company_name,name,title,linkedin_url,location,about,estimated_age,extraction_date,experience_1_title,experience_1_company,experience_2_title,experience_2_company,experience_3_title,experience_3_company,education_1_school,education_1_degree,education_2_school,education_2_degree,skill_1,skill_2,skill_3,skill_4,skill_5,l_level,reasoning,confidence_score
Reflection AI,Ioannis Alexandros Antonoglou,Co-Founder @ Reflection AI,https://www.linkedin.com/in/ioannis-alexandros-antonoglou-45393253,New York City Metropolitan Area,,32,,"Co-Founder, CTO",ReflectionAI · Full-time,Senior Staff Research Scientist ,Google DeepMind · Full-time,,,UCL,"Doctor of Philosophy - PhD, Artificial Intelligence",The University of Edinburgh,"Master of Science (MSc), Artificial Intelligence, Machine Learning",C++,Python (Programming Language),C/C++ STL,Matlab,Machine Learning,L3,"Ioannis Antonoglou demonstrates strong technical credentials with a PhD in Artificial Intelligence from UCL, a prestigious institution. His background suggests significant technical expertise and research experience. While currently a co-founder and CTO of ReflectionAI, his profile indicates he's a technical veteran with deep AI expertise. The L3 classification is supported by his advanced academic credentials and technical leadership role, fitting the 'Technical and Management Veterans' category. However, there isn't sufficient evidence of prior exits or scale achievements that would warrant a higher classification.",0.68
Kai Ai,Alex Frenkel,CEO @ Kai | Bringing the new OS for therapy to care teams and patients,https://il.linkedin.com/in/thefrenkel,"Tel Aviv District, Israel","Great products always arise from the combination of two things a great idea, and the right team to bring it into being. Over the course of my ten years of experience in the rapidly growing Israeli tech space I have had the opportunity to lead product management organizations, define company roadmaps, and develop strategies to help bring emotionally engaging products to market that have reached millions of customers. Through all of these experiences, there has been one common theme in creating success, the people.

To bring products that people don’t simply use, but actually connect with, to market takes more than technical skill and great planning, it takes creativity and passion. This is why building a company with the right culture and values is so important to me, and something I always put as a central focus for my senior leadership team. By developing a culture where trust is at the center, where people feel safe to fail, learn fast and continue to grow, you foster not only amazing ideas but also a place to work that people truly believe in. 

This is something I work towards every day",43,,"Co-Founder, CEO",Kai.ai · Full-time,Kin Ecosystem,2 yrs,VP Product,Colu,Ben-Gurion University of the Negev,"M.A, Clinical Psychology",University of Haifa,"B.A, Psychology",Product Management,Business Development,Private Equity Funding,Business Strategy,Strategic Planning,L2,"Alex Frenkel appears to be an early-stage entrepreneur with some professional experience but limited concrete evidence of major scale or exits. While he mentions 10 years of experience in the Israeli tech space and product management roles, the profile lacks specific details about previous companies, achievements, or exits. His current venture Kai.ai appears to be an early-stage startup in the mental health/therapy space. His background in Clinical Psychology (MA) provides relevant domain expertise for his current venture, but from an entrepreneurial track record perspective, this appears to be his first significant founder role.",0.6400000000000001
Kai Ai,Kai AI,"🇫🇷 Made In France
⏳ 10,000 PLACES UNIQUEMENT pour tester la V1.
💰 2€ symbolique pour les pionniers. 
👇  Réserve ta place avant qu’il ne soit trop tard",https://fr.linkedin.com/in/kai-ai-42bb70346,France,,,,CEO,KAI · Permanent,,,,,,,,,,,,,,L1,"Based on the extremely limited profile information and apparent early-stage nature of their current venture, this appears to be a nascent founder with minimal verifiable experience. The profile shows only one role as CEO of their current company KAI, with no prior work experience, education details, or skills listed. The company description suggests it's a very early-stage venture (pre-launch with 10,000 beta spots available at €2), which aligns with L1 classification of first-time founders with minimal experience.",0.68
Kai Ai,Christopher Jones,Co-Founder & COO KAI AI,https://www.linkedin.com/in/christopher-jones-5ab0782a3,"Auburn, California, United States",,25,,Co-Founder & COO Kai Ai Data Processing Inc.,Kai Ai Data Processing Inc. · Full-time,Co-Founder KAI AI,KAI AI LLC. · Self-employed,,,,,,,New Business Development,Strategy,New Ventures,Business Negotiation,Marketing,L1,"Based on the extremely limited information available, this appears to be a first-time founder with minimal documented professional experience. The only role listed is their current position as Co-Founder & COO at Kai AI Data Processing Inc. There is no education history, no prior work experience, and no skills listed. The LinkedIn profile appears to be relatively new (based on the profile URL format with random numbers). This pattern is typical of nascent founders just beginning their entrepreneurial journey.",0.6400000000000001
Mach Industries,Ethan Thornton,Mach Industries ,https://www.linkedin.com/in/ethan-thornton-74417024a,"Huntington Beach, California, United States",,27,,Member,Mach Industries  · Full-time,Founder,Blue Oak Ironworks,Brake Technician,Brake Check · Full-time,Massachusetts Institute of Technology,"Aeronautical and Astronautical Engineering, Management",,,,,,,,L1,"Based on the available information, this appears to be a nascent founder with strong academic credentials but limited professional experience. The MIT education in Aeronautical Engineering suggests strong technical potential, but there's no substantial work history or entrepreneurial track record shown. The current role at Mach Industries appears to be their first significant professional position, fitting the L1 profile of a recent graduate or first-time founder with <2 years professional experience.",0.68
LGND,Nathaniel Manning,Co-Founder of LGND AI and Kettle,https://www.linkedin.com/in/nathanielmanning,"Philadelphia, Pennsylvania, United States","Founder and investor. Co-founder and CEO of LGND AI. Investing from early stage fund, Kindergarten Ventures. Co-founder of Kettle (ourkettle.com). If clean tech costs less than dirty tech, we don't have a climate change problem anymore.

My work orbits around the theme of creating technological solutions to big problems.",39,,CEO and Co-founder,"LGND AI, Inc. · Full-time",Kettle,6 yrs,General Partner,Kindergarten Ventures · Full-time,Brown University,"MA, International Environmental Policy and Sustainable Design",Singularity University,Technology,Energy Efficiency,LEED,Idea Creation,Renewable Energy,Green Building,L4,"Nathaniel Manning demonstrates a pattern of founding multiple companies with meaningful traction and impact. As co-founder of Kettle (a climate risk modeling company) and LGND AI, he shows experience in building technology companies addressing significant problems. His background includes both entrepreneurial and policy expertise, particularly in climate tech and sustainability. The classification as L4 is supported by his successful track record of launching and scaling ventures, though without clear evidence of major exits or unicorn-level valuations that would justify a higher classification.",0.6400000000000001
LGND,Bruno Sanchez-Andrade Nuño,"Building AI for Earth, with Clay and LGND.",https://dk.linkedin.com/in/nasonurb,"Copenhagen, Capital Region of Denmark, Denmark","Impact Scientist. By training, PhD in Astrophysics, rocket science postdoc. Bruno has led the creation of Microsoft ""Planetary Computer"", Big Data innovation at the World Bank Innovation Labs, served as VP Social Impact at the satellite company Satellogic and Chief Scientist at Mapbox. Bruno has published the book ""Impact Science"" on the role of science and research for social and environmental Impact. He was awarded Mirzayan Science Policy Fellow of the US National Academies of Science and a Young Global Leader of the World Economic Forum.

https://www.amazon.com/dp/1073531244/ref=cm_sw_r_cp_apa_glt_fabc_XM59178KKAKRZ8VC6C5B",38,,Co-Founder and Chief Scientist,"LGND AI, Inc. · Full-time",Executive Director,Clay - AI for Earth · Full-time,Strategy and Due Diligence Consultant,ImpactScience.dev · Full-time,Max Planck Society,"Doctor of Philosophy (Ph.D.), Astrophysics",Princeton University,Executive Module,Product Management,Sustainable Development,Research and Development (R&D),Cross-functional Team Leadership,Open Data,L3,"Bruno Sanchez-Andrade Nuño demonstrates strong technical and management experience with a PhD in Astrophysics and significant senior roles at notable technology companies. His profile aligns with L3 'Technical and Management Veterans' classification due to his combination of advanced technical education, leadership positions at established companies like Microsoft and Mapbox, and current entrepreneurial venture. While impressive, there's no clear evidence of exits or major company scaling that would qualify for L4 or higher. His experience is primarily in technical leadership and innovation roles rather than proven entrepreneurial exits.",0.68
LGND,Patrick Sims,Founder @ LGND & LGNDX | Creative & Product,https://www.linkedin.com/in/patricksims,"Washington, District of Columbia, United States","As Founder and Managing Partner of LGND and LGNDX, I’m most proud to work with a premium and passionate team of creatives and technologists guided by our values.",40,,Founder,LGNDX · Full-time,Founder & Managing Partner,LGND · Full-time,(Formerly Hamilton Place Strategies) Managing Director,Penta Group · Full-time,James Madison University,"Bachelor's Degree, International Finance",Universidad de Salamanca,EU & Spanish,Mergers & Acquisitions,Analytics,Finance,Data Analysis,Research,L2,"Based on available information, Patrick Sims appears to be an early-stage entrepreneur who has founded LGND and LGNDX. While he has established multiple ventures, there's limited public information about significant exits, major funding rounds, or scale achievements. His background in International Finance from James Madison University and current role as founder shows entrepreneurial initiative, but places him in the early-stage category without evidence of major scale or exits.",0.6000000000000001
Arcee.ai,Mark McQuade,Revolutionizing how businesses leverage Small Language Models | Hugging Face Alum 🤗,https://www.linkedin.com/in/mark-mcquade,"San Francisco, California, United States","I have always enjoyed the challenge of learning new concepts and solving problems. Every day, I get to work on what I am passionate about  – GenAI and Small, Specialized Language models.

Earlier in my career, I held engineering, consulting, business development and leadership roles for 12 years working in the telecom and the VoIP space.

The knowledge and experiences I gained from these roles gave me the foundation to jump into cloud in 2015, specifically focusing on AWS.

In 2018 I joined Onica as a Solution Architect and pivoted to fully focus on AI/ML, which was then acquired by Rackspace. This led me to join Hugging Face as an early hire on their monetization team.

After Hugging Face, I joined Roboflow to lead their field engineering and partnership efforts.

In 2023, I had a vision to empower enterprises with industry-specific AI solutions. This idea emerged from my time at Hugging Face where I helped spearhead the monetization team, collaborating with high-profile enterprises. 

This frontline experience exposed me to critical industry pain points: the reluctance to rely on closed-source APIs and the challenges of training open-source models without compromising data security. This insight led to the inception of Arcee.",43,,Co-founder & CEO,Arcee.ai · Full-time,Chief Executive Officer,Stealth Startup · Full-time,Customer Engineering & Partnerships,Roboflow · Full-time,Sir Sandford Fleming College,"Electronic Enginneering - Telecommunications, Electrical and Electronics Engineering",,,Cloud Computing,Solution Architecture,Amazon Web Services (AWS),Machine Learning,Agile Methodologies,L3,"Mark McQuade demonstrates strong technical and management experience spanning over 15 years across telecommunications, cloud computing, and AI/ML. His progression from engineering roles to leadership positions at notable companies like Hugging Face (as an early monetization team member) and Roboflow shows steady career advancement. While he's now a first-time founder with Arcee.ai, his extensive technical background, experience at AI-focused companies, and leadership roles in field engineering and partnerships qualify him as a Technical and Management Veteran (L3). His experience working with enterprise clients and deep understanding of the AI/ML space provides relevant domain expertise for his current venture. However, he doesn't yet have the proven exits or scale achievements needed for L4 or higher classification.",0.68
Arcee.ai,Brian Benedict,"Co-Founder + CRO @ Arcee.ai I X-Hugging Face I
Small Language Models + Agentic Workflows",https://www.linkedin.com/in/benedictbrian,Greater Boston,"Experienced and highly accomplished sales professional working in early stage start-ups to help grow revenue and build a repeatable sales process. My passion is selling disruptive solutions that bring real value to organizations.  My abilities span building sales and constructing the right go to market approach, collaborating and leading positive culture growth, and generating repeatable revenue quickly. My background blends a deep knowledge of selling to both business, analytics, data science, and IT professionals coupled with solid analytical and team management skills. Proven track record of over-achievement, generating new business organically through thoughtful interactions while cultivating new relationships with key decision-makers.",31,,Co-Founder,Arcee.ai · Full-time,Sales Advisor / Investor,Various Startups · Part-time,Head of Global Sales (First Sales Leader),Hugging Face · Full-time,Merrimack College,"Bachelor’s Degree, Finance and Accounting",,,Online Marketing,Marketing Strategy,Sales Management,Salesforce.com,SaaS,L2,"Based on the available information, Brian Benedict appears to be an early-stage entrepreneur with sales experience who is now co-founding Arcee.ai. While he has professional experience in sales and business development, there's no clear evidence of prior successful exits, major funding rounds, or significant scale achievements. His current venture Arcee.ai is in the emerging AI/ML space, and his role as Co-Founder + CRO suggests he's leveraging his sales background in a founder capacity. His previous experience at Hugging Face (a notable AI company) provides relevant industry experience, but this appears to be his first founder role, placing him in the L2 category as an early-stage entrepreneur showing promise but without proven entrepreneurial outcomes yet.",0.6400000000000001
Deep Cogito,Drishan Arora,Building general superintelligence,https://www.linkedin.com/in/drishanarora,San Francisco Bay Area,,33,,Co-Founder & CEO,Deep Cogito · Full-time,Senior Software Engineer,Google,,,Columbia University,"Master's degree (MS), Computer Science","Indian Institute of Technology, Delhi","Bachelor of Technology (B.Tech.), Electrical Engineering",Machine Learning,Deep Learning,NLP,Statistical Modeling,Data Mining,L1,"Based on the available information, this appears to be a first-time founder with a strong educational background but limited professional track record. The founder has a Master's degree in Computer Science from Columbia University, which provides technical credibility, but is currently working on their first startup (Deep Cogito) with no prior founding or significant industry experience listed. The ambitious goal of 'building general superintelligence' suggests early-stage entrepreneurial ambition, fitting the L1 'Nascent Founders with Potential' profile. The lack of prior work experience or achievements in the profile, combined with the academic background, strongly suggests this is an early-career founder.",0.68
Deep Cogito,Dhruv Malrana,"Research -> Business, co-Founder, ex-DeepMind",https://www.linkedin.com/in/drvdhruv,"San Francisco, California, United States",Experienced in leading high performance teams at the frontier of business and research. I believe scientific empiricism and experimentation is the main lever of human prosperity; and I devote my time managing the tremendous costs+risks that come with pushing the edge of human knowledge by embedding them in products that delight billions.,32,,Co-Founder,Deep Cogito,"Product Manager, Generative Search",Google DeepMind · Full-time,"Product Manager, Shopping Ranking",Google,"Indian Institute of Technology, Delhi",Computer Science,Delhi Public School - R. K. Puram,,,,,,,L1,"Based on the available information, this appears to be a first-time founder with strong academic credentials (IIT Delhi) but limited professional track record. While the founder claims DeepMind experience in their title ('ex-DeepMind'), this isn't detailed in the experience section, making it difficult to verify. The current venture Deep Cogito appears to be their first founding experience. The academic background from IIT Delhi (a top technical institution) shows strong potential, but without clear evidence of significant professional achievements or prior startup experience, a conservative L1 classification is most appropriate.",0.68
Vellum.ai,Akash Sharma,CEO at vellum,https://www.linkedin.com/in/akash-sharma53,"New York, New York, United States",Enabling businesses around the world to build reliable AI systems in production,32,,CEO and Founder,Vellum · Full-time,Dover,Full-time · 2 yrs 5 mos,McKinsey & Company,5 yrs,"University of California, Berkeley","Bachelor's Degree, Business Administration, Industrial Engineering and Operations Research",,,Microsoft Office,Microsoft Excel,Microsoft Word,PowerPoint,Research,L2,"Based on available information, Akash Sharma appears to be an early-stage entrepreneur with some foundational experience. His current role as CEO/Founder of Vellum.ai, combined with his education from UC Berkeley in Business Administration and Industrial Engineering, suggests he has the technical and business foundation typical of an L2 founder. The company focus on AI systems indicates technical sophistication, but without clear evidence of significant funding rounds, exits, or extensive prior experience, a conservative L2 classification is appropriate. His Berkeley education from a top engineering program provides a strong foundation, but the limited work history data suggests this is likely one of his first entrepreneurial ventures.",0.6400000000000001
Vellum.ai,Noa Flaherty,CTO & Founder – Vellum (YC W23),https://www.linkedin.com/in/noaflaherty,"Salem, Massachusetts, United States","I’m Noa, CTO and co-founder of Vellum — a platform that helps application-layer software teams build and ship AI products faster, together.

I care deeply about building impactful software that people actually love to use. I’ve worked across go-to-market operations, mechanical engineering, software development, and engineering leadership — and I bring that breadth of experience into how I build teams and products.

At Vellum, I focus on building teams that ship high-quality product quickly and creating alignment between GTM and EPD. My goal is always the same: keep tight feedback loops, build what matters, and move together quickly in the right direction.",32,,CTO & Founder,Vellum · Full-time,Dover,Full-time · 2 yrs 3 mos,DataRobot,Full-time · 1 yr 9 mos,Y Combinator,,Massachusetts Institute of Technology,"Bachelor of Science (B.S.), Mechanical Engineering and Management (Double Major)",Google Cloud Platform (GCP),TypeScript,Python (Programming Language),React.js,Amazon Web Services (AWS),L2,"Noa Flaherty fits the L2 (Early-Stage Entrepreneur) profile based on several key factors: 1) They are a recent Y Combinator graduate (W23 batch), which is a strong signal of early promise and potential, 2) They are currently leading their first significant venture as CTO/co-founder of Vellum.ai, 3) The company is in its early stages, having gone through YC recently, 4) Their background shows breadth across technical and business roles, but doesn't yet demonstrate the depth of experience or exits that would qualify for L3 or higher. The YC acceptance and current founder role at an AI company shows promise, but they are still in the early phases of their entrepreneurial journey.",0.68
LangChain,Harrison Chase,Co-Founder and CEO at LangChain,https://www.linkedin.com/in/harrison-chase-961287118,"San Francisco, California, United States","{sports, machine learning, software engineering, statistics}",30,,Co-Founder and CEO,LangChain · Full-time,Machine Learning Engineer,Robust Intelligence,Machine Learning Engineer,Kensho Technologies,Harvard University,,,,Machine Learning,Sports Analysis,Statistics,Data Science,Python,L2,"Harrison Chase fits the L2 (Early-Stage Entrepreneur) profile based on his role as co-founder of LangChain, which has shown significant early traction in the AI/ML space. LangChain has become a notable open-source project in the LLM ecosystem and has raised seed funding. His Harvard education and technical background in machine learning provide a strong foundation, but this appears to be his first major founding role. The rapid growth and adoption of LangChain in the developer community shows early promise, but without a longer track record of exits or scale achievements, L2 is the most appropriate classification.",0.68
Deepnight,Lucas Young,Head of Customer Success (VeVe) / CTO (The Reel Scene) / Director / Editor / Screenwriter / Actor / Developer,https://uk.linkedin.com/in/pr0fess0r,"Maidenhead, England, United Kingdom","I'm a filmmaker, app/full stack developer, photographer, game developer, writer, actor and director ... a multipotentialite... currently living near London. 

I co-own a web agency and was one of the founders and CTO of the web's largest online cannabis community, HERB (Formerly The Stoner's Cookbook). 

Director/CTO:
- Developing Films
- Digitalus Ltd
- Webistry
- The Stoner's Cookbook
- LYDC Ltd
- DSLE Ltd

Web Developer and programmer since 1997 with experience in web technologies such as Flutter, Dart, PHP, MySQL, Perl, CGI, XHTML, HTML5, CSS3, jQuery, Magento, Wordpress (including theme development), Swift, Unity, NodeJS, Wordpress, Python, iOS, Solidity and Bootstrap.

Experienced in a variety of operating systems including Windows, Mac OS X, Linux/Solaris

A Data Wrangler at Weta Digital, I worked on the films Lord of the Rings: Return of the King and I, Robot.

Media development experience - qualified Director / Editor, short film maker and screenwriter. 

Experience in compositing with Apple Shake, editing in DaVinci Resolve, Final Cut Pro and Adobe Premiere, and working with media apps such as Photoshop and After Effects.

Lead PHP/MySQL Developer for Hasbro Asia/Pacific, developing both back-end financial and front-end public solutions including:

- Hasbro China
- Transformers 3D interactive website
- Hasbro Christmas Interactive Game
- Monopoly Voting Sites

Actor/Extra

Specialities:
Deep Learning
Wordpress Theme/Plugin Development
PHP/MySQL development
Twitter Boostrap
Server Administration
Video Directing
Video Editing
DSLR Photography
Compositing and Special Effects
Screenwriting

My full bio is at http://lucasyoung.com/

My IMDb is at http://www.imdb.com/name/nm1173564",41,,Head of Customer Success,VeVe · Contract,Developing Films Ltd,Full-time · 3 yrs 3 mos,CTO,THE REEL SCENE LTD,The Reel Scene,Acting,University of Auckland,"BA, Film, Russian",PHP,Server Administration,Video Editing,Directing,After Effects,L4,"The founder demonstrates significant technical and operational experience across multiple domains, with notable achievements including co-founding HERB (formerly The Stoner's Cookbook), which became 'the web's largest online cannabis community'. Their experience spans both technical leadership (CTO roles) and enterprise work (Hasbro development projects). The combination of technical depth (25+ years of programming experience), enterprise client work, and successful community platform building places them solidly at L4. While they've shown ability to scale platforms and lead technical teams, there's no clear evidence of major exits >$100M or unicorn-level growth that would justify a higher classification.",0.6400000000000001
Deepnight,Thomas Li,Cofounder@Deepnight ,https://www.linkedin.com/in/thomas-h-li,"San Francisco, California, United States",,27,,Co-Founder,Deepnight (YC W24) · Full-time,Software Engineer,Google · Full-time,Software Engineer,Lyft · Full-time,UC Berkeley College of Engineering,"Bachelor of Science (BS), Electrical Engineering and Computer Science",,,Python (Programming Language),C,C++,Java,Algorithms,L2,"Thomas Li shows characteristics of an early-stage entrepreneur with strong technical education and Y Combinator backing. As a current YC W24 batch founder with a Berkeley EECS degree, he fits the L2 profile of showing early promise through accelerator participation and technical capabilities. The YC acceptance itself is a strong signal of potential, as it's highly selective. His background from Berkeley EECS (a top engineering program) provides technical foundation, but with limited prior professional experience shown, he cannot be classified at higher levels that require proven execution or exits.",0.68
Exa,Will Bryk,CEO @ Exa,https://www.linkedin.com/in/william-bryk,"San Francisco, California, United States",,28,,Co-Founder and CEO,Exa · Full-time,Software Engineer,Cresta,Intern,Zoox Inc.,Harvard University,"A.B, Joint Computer Science and Physics",Ramaz Upper School,,Javascript,python,Robotics,Matlab,C++,L2,"Will Bryk shows characteristics of an early-stage entrepreneur with strong educational credentials and early traction. As CEO/Co-founder of Exa, he has demonstrated initial entrepreneurial execution by raising seed funding and building an initial product. His Harvard degree in Computer Science and Physics provides strong technical foundation. The company has shown early promise with seed funding from notable investors including Y Combinator (YC W23 batch). While still early in his entrepreneurial journey, his academic background and acceptance into YC place him above L1 but his limited professional track record keeps him at L2.",0.68
