name,description,short_description,founded_year,funding_total_usd,funding_stage,founders,investors,categories,city,region,country,ai_focus,sector,website,linkedin_url,source_url,extraction_date
Hightime AI,"Hightime AI helps developers build high-accuracy, robust Natural Language APIs tailored to their specific tasks.",Hightime AI provides tailored Natural Language APIs for developers.,,,pre-seed,,Y Combinator,AI|Natural Language Processing,Mountain View,California,United States,Natural Language Processing,Technology,https://hightime.ai/,,https://www.crunchbase.com/organization/hightime-ai,2025-07-11 11:50:30.366236
Crossing Minds,"Crossing Minds provides AI recommendation systems to e-commerce businesses, focusing on improving personalization and recommendation systems by studying customers' on-site behavior data while ensuring privacy.",AI recommendation startup for e-commerce.,,13500000.0,,Alexandre Robicquet,Index Ventures|Shopify|Plug and Play|Radical Ventures,AI|E-commerce|Recommendation Systems,,,,Recommendation Systems,E-commerce,https://www.crossingminds.com/,,https://techcrunch.com/2025/06/27/openai-hires-team-behind-ai-recommendation-startup-crossing-minds/,2025-07-11 11:50:35.379322
Alecto AI,"Alecto AI focuses on providing solutions in the fields of SaaS, enterprise security, and privacy using AI and machine learning technologies.",Alecto AI offers AI-driven solutions for enterprise security and privacy.,,,,Wen Liu|Qi Xia,,SaaS|Enterprise Security|Privacy|AI|Machine Learning,,,,Security and Privacy AI,SaaS/Enterprise Security,https://alectoai.com/,,https://techcrunch.com/startup-battlefield/company/alecto-ai/,2025-07-11 11:50:42.112234
Galen AI,Galen AI is focused on developing agentic AI solutions that can think and perform tasks autonomously.,Galen AI creates autonomous AI agents for various applications.,2025,500000.0,seed,Priyanka Shrestha,Y Combinator,AI|agentic AI,San Francisco,California,USA,agentic AI,technology,,,https://www.businessinsider.com/y-combinator-yc-demo-day-spring-ai-agent-startups-2025-6,2025-07-11 11:51:13.752934
Nexa AI,"Nexa AI is a startup focused on providing AI and machine learning solutions for security and privacy, as well as development tools.",Nexa AI offers innovative AI solutions for security and development.,,,,Alex Chen|Zack Li,,Security & Privacy|AI/Machine Learning|Dev Tools,,,,,,https://nexa.ai/,,https://techcrunch.com/startup-battlefield/company/nexa-ai/,2025-07-11 11:51:18.727481
Play AI,"Play AI lets anyone clone different kinds of voices that they can use for AI-powered use cases, such as customer service.",A voice-cloning startup that enables users to create AI-generated voice clones.,,23500000.0,,,500 Global|Kindred Ventures|Race Capital|Soma Capital,AI|Voice Cloning,,,,NLP,Technology,https://www.playai.com/,,https://techcrunch.com/2025/06/27/meta-in-talks-to-acquire-voice-cloning-startup-play-ai/,2025-07-11 11:51:31.633988
Sakana AI,Sakana AI is a world-class AI research lab focused on exploring alternative approaches to foundation models that are more adaptive and resilient.,"Sakana AI is at the forefront of AI innovation, pushing the boundaries of AI research.",,,seed,David Ha|Llion Jones,500 Global|Lux Capital|Khosla Ventures,AI|Machine Learning,,,,foundation models,technology,https://sakana.ai/,,https://500.co/content/sakana-ai-investing-in-global-pioneers-in-ai,2025-07-11 11:51:40.088591
DeepSeek,"DeepSeek is a startup that has developed R1, a reasoning large language model (LLM) that competes with major AI models from established companies.",DeepSeek is an AI startup that released a competitive large language model.,,,,,High-Flyer,AI|Machine Learning,Hangzhou,,China,NLP,Technology,https://fortune.com/asia/2025/01/23/deepseek-ai-china-vs-openai-stargate/,,https://fortune.com/asia/2025/03/30/deepseek-ai-china-us-silicon-valley/,2025-07-11 11:52:04.648776
Snowcap Compute,"Snowcap Compute is a startup focused on developing artificial intelligence computing chips using superconducting technology, aiming to outperform existing AI systems while consuming significantly less electricity.",Snowcap Compute develops superconducting chips for AI applications.,,23000000.0,series-a,Quentin Herr|Anna Herr|Mike Lafferty,Playground Global,AI|Hardware,San Francisco,California,United States,AI computing,Technology,,,https://www.reuters.com/business/snowcap-compute-raises-23-million-superconducting-ai-chips-2025-06-23/,2025-07-11 11:52:19.599635
Perplexity AI,"Perplexity is an AI-powered answer engine designed to provide accurate, real-time responses to user queries.",Perplexity AI develops an AI-driven web browser that enhances user navigation and task execution.,2023.5,1175000000.0,series_unknown,Andy Konwinski|Aravind Srinivas|Denis Yarats|Johnny Ho,Nvidia,AI|Web Browsers,,,,NLP,Technology,,https://www.linkedin.com/company/perplexity-ai,https://www.reuters.com/business/media-telecom/nvidia-backed-perplexity-launches-ai-powered-browser-take-google-chrome-2025-07-09/,2025-07-11 11:52:34.120451
Relevance AI,Relevance AI is a startup developing an AI agent 'operating system' to enable businesses to build teams of AI agents.,Relevance AI helps businesses create and manage AI agents for various roles.,,24000000.0,series-b,,Bessemer Venture Partners|King River Capital|Insight Partners|Peak XV,AI|Machine Learning,San Francisco,California,United States,AI agents,technology,https://relevanceai.com/,,https://techcrunch.com/2025/05/06/relevance-ai-raises-24m-series-b-to-help-anyone-build-teams-of-ai-agents/,2025-07-11 11:52:59.140910
Patronus AI,"Patronus AI launched a new monitoring platform that automatically identifies failures in AI agent systems, targeting enterprise concerns about reliability as these applications grow more complex.",An AI safety startup providing solutions to monitor and optimize AI agent systems.,2025,,,Anand Kannappan,,AI|AI Safety,San Francisco,California,United States,AI agent reliability,Enterprise Software,https://www.patronus.ai/,,https://venturebeat.com/ai/patronus-ai-debuts-percival-to-help-enterprises-monitor-failing-ai-agents-at-scale/,2025-07-11 11:53:04.460430
Palona AI,Palona AI offers a range of artificial intelligence technologies that boost D2C growth.,AI technologies for direct-to-consumer growth.,,10000000.0,seed,,,AI|D2C,Palo Alto,California,United States,general AI technologies,technology,https://palona.ai/,,https://www.crunchbase.com/organization/palona-ai,2025-07-11 11:53:10.965122
Practicus AI,Practicus AI provides an AI platform designed to assist legal professionals by automating tasks and reducing burnout.,An AI platform that lightens the load for attorneys.,,,seed,,,AI|Legal Tech,Seattle,Washington,United States,NLP,legal,https://practicus.ai/,,https://www.crunchbase.com/organization/practicus-ai,2025-07-11 11:53:29.638715
Oumi,Oumi is a group of academics and developers dedicated to fostering greater transparency and cooperation in frontier AI.,Oumi focuses on transparency and cooperation in frontier AI.,2025,10000000.0,seed,,Ascend|7 other investors,Artificial Intelligence (AI),Seattle,Washington,United States,frontier AI,technology,https://oumi.ai/,,https://www.crunchbase.com/organization/oumi,2025-07-11 11:53:35.466327
Enkrypt AI,Achieve AI security & safety with a platform that detects and removes vulnerabilities and monitors performance for continuous insights.,A platform for AI security that identifies vulnerabilities and monitors performance.,2025,,seed,,,AI Security|Vulnerability Detection,Boston,Massachusetts,United States,AI security,technology,https://www.enkryptai.com/,,https://www.crunchbase.com/organization/enkrypt-ai,2025-07-11 11:53:54.236520
BetterLungs.ai,BetterLungs.ai is a startup focused on leveraging artificial intelligence to improve lung health and respiratory care.,AI-driven solutions for lung health.,2025,,,,,AI|Healthcare,,,,healthcare AI,healthcare,,,https://pitchbook.com/profiles/company/510022-45,2025-07-11 11:53:59.181507
Liquid AI,"Liquid AI is a foundation model startup that aims to advance AI technology beyond the Transformer architecture, focusing on developing convolution-based models for edge devices.",Liquid AI is revolutionizing AI for edge devices with its new Hyena Edge model.,,,,,,AI|Machine Learning,Boston,Massachusetts,United States,NLP,Technology,,,https://venturebeat.com/ai/liquid-ai-is-revolutionizing-llms-to-work-on-edge-devices-like-smartphones-with-new-hyena-edge-model/,2025-07-11 11:54:05.024760
Agentuity,Agentuity is a technology company that develops cloud-based system to enable autonomous AI agents.,A tech company focused on cloud-based autonomous AI agents.,2025,,seed,,,AI|cloud computing,Austin,Texas,United States,autonomous agents,technology,https://www.agentuity.com/,,https://www.crunchbase.com/organization/agentuity,2025-07-11 11:54:21.559888
Snowfire AI,"Snowfire AI is a pioneer in decision intelligence, offering a patent-pending adaptive AI platform designed for executives to leverage internal data and external intelligence for informed decision-making.",Snowfire AI provides an adaptive AI platform for executive decision-making.,2025,,,Greg Genung,,AI|Decision Intelligence,Austin,TX,USA,Decision Intelligence,Enterprise Software,https://www.snowfire.ai/,,https://www.reuters.com/press-releases/from-data-overload-to-boardroom-clarity-snowfire-ai-launches-first-adaptive-decision-intelligence-ai-platform-purpose-built-for-enterprise-executives-in-the-age-of-ai-2025-04-30/,2025-07-11 11:54:28.370826
Autonomize AI,"Autonomize AI provides AI agents to health systems and plans, focusing on tasks like benefits verification, care planning, and chart review, utilizing a human-in-the-loop model for compliance and explainability.",Autonomize AI offers AI agents designed for healthcare systems to improve operational efficiency.,,28000000.0,series-a,Ganesh Padmanabhan,Valtruis|Cigna Ventures|Tau Ventures|Asset Management Ventures|ATX Venture Partners|Capital Factory,AI|Healthcare,Austin,Texas,United States,agentic AI,healthcare,,,https://axios.com/pro/health-tech-deals/2025/06/12/autonomize-ai-raises-28m-healthcare-agents,2025-07-11 11:54:33.599554
WebAI,WebAI is an artificial intelligence platform that offers seamless integration of cloud-based services and local devices.,An AI platform for integrating cloud services with local devices.,,,series-a,,,AI|Cloud Services,Austin,Texas,United States,NLP,Technology,https://www.webai.com/,,https://www.crunchbase.com/organization/webai,2025-07-11 11:54:37.979348
Moonvalley,"Moonvalley is an AI video-generation startup that offers a '3D-aware' model for filmmakers, allowing them to generate video clips with more control than standard text-to-video models.",Moonvalley provides a hybrid AI video generation model aimed at democratizing filmmaking.,2025,53000000.0,series-a,former DeepMind researchers,,AI|video generation,Los Angeles,California,United States,computer vision,media and entertainment,https://techcrunch.com/2025/05/16/ai-video-startup-moonvalley-lands-53m-according-to-filing/,,https://techcrunch.com/2025/07/08/moonvalleys-ethical-ai-video-model-for-filmmakers-is-now-publicly-available/,2025-07-11 11:54:46.924732
Brighthive,"Brighthive is a fast-growing AI startup that provides a platform with seven data agents for enterprise agentic AI data analysis, orchestrating end-to-end data management and analysis workflows across all enterprise teams, regardless of their data skills.",Brighthive is an AI startup focused on enterprise data management and analysis.,,,,Suzanne H. EL-Moursi,,AI|Data Management,Chicago,IL,USA,enterprise workflows,technology,https://www.brighthive.io/,,https://www.reuters.com/press-releases/brighthive-co-founder-ceo-named-top-50-women-ceo-of-2025-2025-02-06/,2025-07-11 11:54:54.897618
MagicSchool AI,"MagicSchool AI provides award-winning AI tools designed to assist educators and tackle teacher burnout, aiming to bring an AI assistant to every teacher in the world.",MagicSchool AI offers AI tools to support educators and enhance student engagement.,,,,Adeel Khan,,AI|Education Technology,Vernon Hills,Illinois,United States,NLP,Education,http://www.magicschool.ai/,,https://www.reuters.com/press-releases/lake-county-regional-office-of-education-roe-names-magicschool-ai-as-its-official-ai-platform-partner-2025-04-17/,2025-07-11 11:55:01.851970
Pronto Ai,"Pronto Ai is a video production company that provides video marketing, creation, production, and automation services.",Video production company specializing in video marketing and automation.,,,,,,Advertising|Brand Marketing,Denver,Colorado,United States,,Advertising,https://www.getpronto.ai/,,https://www.crunchbase.com/organization/pronto-ai-0909,2025-07-11 11:55:14.588633
Karini AI,"Karini AI leads in enterprise Generative AI with its no-code platform for building, deploying, and managing apps securely and efficiently.",Karini AI provides a no-code platform for enterprise Generative AI applications.,2025,,,,,AI|Generative AI,Alpharetta,Georgia,United States,Generative AI,Enterprise Software,https://www.karini.ai/,,https://www.crunchbase.com/organization/karini-ai,2025-07-11 11:55:25.433562
Rogo,Rogo is a financial software company that provides innovative solutions for managing financial transactions and analytics.,Rogo offers financial software solutions for transaction management.,2025,,,,,,,,,,fintech,,,https://pitchbook.com/profiles/company/507301-75,2025-07-11 11:55:55.811290
Cohere,"Enterprise AI startup Cohere has launched a new platform called North, which allows users to quickly deploy AI agents to execute tasks across various business sectors, significantly reducing task completion time.",Cohere provides a platform for deploying AI agents in business tasks.,2025,,,Ivan Zhang|Nick Frosst|Aidan Gomez,,AI|Enterprise AI,,,,NLP,enterprise software,,,https://www.businessinsider.com/cohere-ai-agents-for-businesses-2025-1,2025-07-11 11:56:02.520948
Qurrent,"Qurrent has emerged as a game-changer, pioneering a unique approach to AI by building and managing tailored 'AI workforces' that drive consistent, measurable value.",Qurrent redefines AI adoption with custom AI workforces for real business impact.,2025,,,,,AI|Machine Learning,San Francisco,CA,USA,AI workforce management,Technology,https://qurrent.ai/,,https://www.reuters.com/press-releases/qurrent-redefines-ai-adoption-with-custom-ai-workforces-delivering-real-business-impact-2025-03-12/,2025-07-11 11:56:13.445152
PIN AI,"PIN AI is a Bay Area-based AI startup that has launched a mobile application featuring a native large language model (LLM) designed to create a personalized intelligence network, accessing user-authorized personal data to provide tailored insights.",PIN AI offers a personal AI network through a mobile app that prioritizes user privacy and data security.,,,,Davide Crapis,,AI|Privacy|Mobile Applications,Bay Area,California,United States,NLP,Technology,,,https://www.fastcompany.com/91278338/pin-ai-encrypted-assistant-app-launch-llm,2025-07-11 11:56:31.294986
Devin,"Devin is an AI coding tool designed to autonomously manage coding tasks without user intervention, aiming to streamline the software development process.",An AI tool for autonomous coding task management.,2025,,,,,AI|Coding Tools,,,,NLP,Software Development,https://devin.ai/,,https://techcrunch.com/2025/05/20/openais-codex-is-part-of-a-new-cohort-of-agentic-coding-tools/,2025-07-11 11:56:52.275622
Anysphere Inc.,"Anysphere Inc. is the maker of Cursor, an AI-powered coding assistant that helps programmers by analyzing their actions and suggesting the next lines of code.","Anysphere Inc. develops Cursor, an AI-infused code editor for programmers.",,,,Oskar Schulz,,AI|Software Development,,,,NLP,Software,,,https://www.bloomberg.com/news/articles/2025-04-07/cursor-an-ai-coding-assistant-draws-a-million-users-without-even-trying,2025-07-11 11:56:56.989183
v0,An AI-powered platform for web creation that offers an AI model optimized for front-end and full-stack web development tasks.,v0 is an AI model designed for web development tasks.,2025,,,,,AI|Web Development,,,,NLP,Technology,https://vercel.com/docs/v0/api,,https://techcrunch.com/2025/05/22/vercel-debuts-an-ai-model-optimized-for-web-development/,2025-07-11 11:57:05.803471
