Name,Description,founded year,total funding amount (in usd),number of funding rounds,last funding date,last funding amount (in usd),city,region,country,investor names,founder names,number of employees,sector,website,linkedin url,market_size_billion,cagr_percent,timing_score,competitor_count,market_stage,confidence_score_market,us_sentiment,sea_sentiment,total_funding_billion,momentum_score
Outreach,"Outreach is a sales engagement platform that accelerates revenue growth by optimizing every interaction throughout the customer lifecycle. The platform manages all customer interactions across email, voice and social, and leverages machine learning to guide reps to take the right actions. Thousands of customers, including Cloudera, Glassdoor, Pandora, and Zillow, rely on Outreach to drive predictable and measurable growth, increase efficiency and effectiveness of customer-facing teams, and improve visibility into sales activity and performance.",2014,489018000.0,13,2022-06-01,,Seattle,Washington,United States,Vista Equity Partners|Menlo Ventures|Techstars|Sands Capital Ventures|Sapphire Ventures,Andrew Kinzer|Gordon Hempton|Manny Medina|Wes Hather,750,"""AI-Driven Sales Engagement and Optimization Platform""",https://www.outreach.io/,https://www.linkedin.com/company/outreach-saas,0.1,20.0,3.5,10,growth,0.85,4.0,3.5,0.5,3.0
Blueshift,"Blueshift helps brands deliver relevant, connected experiences across every customer interaction. Its smart hub cdp uses patented AI technology to unify, inform, and activate the fullness of customer data across all channels and applications. It gives brands all the tools to seamlessly deliver experiences in real time across the entire customer journey.  Blueshift's platform leverages patented AI technology to integrate, enrich, and mobilize comprehensive customer data across diverse channels and applications. By achieving unified data, orchestrating omnichannel interactions, employing intelligent decision-making, and boasting unparalleled scalability, Blueshift equips brands with complete capabilities to provide personalized experiences in real-time throughout the entire customer journey.",2014,104579996.0,6,2024-01-16,40000000.0,San Francisco,California,United States,Nexus Venture Partners|New Enterprise Associates|Conductive Ventures|SBVA|CSC Upshot,Manyam Mallela|Mehul Shah|Vijay Chittoor,175,"""AI-Driven Customer Data Platform Solutions""",https://blueshift.com/,https://www.linkedin.com/company/blueshift-labs-inc,0.1,20.0,3.0,10,growth,0.85,3.5,3.0,0.05,3.5
Innovaccer,"Innovaccer offers a Healthcare Intelligence Cloud that transforms fragmented healthcare data into actionable insights, enhancing patient care and operational efficiency. The platform supports value-based care initiatives by integrating various functionalities such as risk adjustment, population health management, and omnichannel marketing.",2014,654100000.0,9,2025-01-09,275000000.0,San Francisco,California,United States,Peak XV Partners|Lightspeed Venture Partners|B Capital|500 Global|Lightspeed India Partners,Abhinav Shashank|Kanav Hasija|Sandeep K Gupta,3000,"""Healthcare Data Analytics and Intelligence Solutions""",https://www.innovaccer.com/,https://www.linkedin.com/company/innovaccer,2.5,25.04,4.5,15,growth,0.85,4.8,4.2,0.5,4.5
Ontra,"Ontra provides solutions for automating legal workflows, focusing on contract management, fund compliance, and entity management. The company uses AI technology to streamline processes, enabling sales teams to efficiently handle legal documents and obligations. By leveraging extensive data from numerous contracts, Ontra enhances negotiation capabilities and simplifies compliance tracking. This approach allows organizations to reduce manual work and improve accuracy in legal operations. Ontra's services support sales development representatives in accessing critical information quickly, facilitating better decision-making and operational efficiency.",2014,310000000.0,3,2025-06-10,70000000.0,San Francisco,California,United States,Battery Ventures|Blackstone Group|Silicon Valley Bank|Mike Paulus,Ben Levi|Lane Lillquist|Troy Pospisil,375,"""AI-Driven Legal Workflow Automation Solutions""",https://www.ontra.ai/,https://www.linkedin.com/company/ontra-ai,0.5,15.0,3.0,10,unknown,0.85,3.5,3.0,0.1,3.0
Simbe Robotics,"Simbe Robotics automates repetitive tasks in retail execution. Tally, performs the repetitive and laborious tasks of auditing shelves for out-of-stock items, low stock items, misplaced items, and pricing errors. Tally operates safely during normal store hours alongside shoppers and employees.",2014,104000000.0,8,2024-10-24,50000000.0,San Francisco,California,United States,Venrock|Eclipse Ventures|Activant Capital|Pillar VC|SOSV,Bradley Bogolea|Jeff Gee|Mirza Shah,75,"""Retail Robotics for Inventory Management Automation""",http://www.simberobotics.com/,https://www.linkedin.com/company/simbe-robotics-inc,0.3,20.0,2.5,10,unknown,0.85,3.5,3.0,0.15,2.8
Starship Technologies,"Starship Technologies is a robotics company building fleets of self-driving delivery robots designed to deliver goods locally within 30 minutes. The robots drive autonomously 99% of the time to make safe and environmentally friendly curb-side deliveries from a local hub. They also offering people convenient new services that improve everyday life. Starships Technologies robots are equipped with a sensor suite that includes cameras, GPS, and inertial measurement units. The company's aim is to fundamentally reshape how goods are shipped and delivered, and make local delivery, ultimately, free. It also enables a new era of instant delivery that works around your schedule at much lower costs. Starships Technologies was founded in 2014 and is headquartered in San Francisco, California.",2014,287715822.0,7,2024-02-05,90000000.0,San Francisco,California,United States,European Investment Bank|HOF Capital|TDK Ventures|Shasta Ventures|Specialist VC,Ahti Heinla|Janus Friis,750,"""Autonomous Delivery Robotics for Local Goods Transportation""",https://www.starship.xyz/,https://www.linkedin.com/company/starshiptechnologies,0.01,20.0,2.5,5,unknown,0.85,3.5,3.0,0.05,2.5
Logz.io,"Logz.io provides an intelligent and scalable machine data analytics platform built on ELK and Grafana. Designed for monitoring modern applications, Logz.io combines cloud-native simplicity and scalability with crowdsourced artificial intelligence to help engineers identify critical issues before they occur and empower them to monitor, troubleshoot and secure mission-critical applications using one unified platform.",2014,121900000.0,7,2020-11-24,23000000.0,Boston,Massachusetts,United States,General Catalyst|Alumni Ventures|83North|Pitango VC|Vintage Investment Partners,Asaf Yigal|Tomer Levy,175,"""Cloud-Based Machine Data Analytics Platform""",https://logz.io/,https://www.linkedin.com/company/logz-io,0.0,0.0,0.0,0,unknown,0.35,4.8,4.2,0.0,0.0
Auransa,"Auransa is a clinical stage drug development company who aims to invent high value, novel drugs for hard-to-treat diseases like cancer, auto-immune and neurological disorders using its proprietary AI platform and drug discovery expertise. The company's platform is used to understand biology of diseases at subtype level resolution, enabling it to predict compounds and targets of novel pharmacology for responder patient population. Current internal drug pipeline includes a first-in-class investigational new drug for cancer in clinical trials. Auransa has partnership with companies and institutions in the biopharma industry.",2014,18500000.0,2,2020-08-24,15700000.0,Palo Alto,California,United States,Lux Capital|DCVC|AME Cloud Ventures|11.2 Capital|Harmonix Fund,Pek Lum|Viwat Visuthikraisee,30,"""AI-Driven Drug Discovery for Precision Medicine""",https://www.auransa.com/,https://www.linkedin.com/company/auransa-inc/,0.1,20.0,3.0,10,growth,0.85,3.5,3.0,0.5,3.5
Owl Labs,"Owl Labs is a collaborative tech company revolutionizing how the world communicates through inclusive and immersive video experiences. Built for modern organizations, we’re dedicated to empowering hybrid and remote teams with our award-winning collaborative technology and product suite.",2014,47300000.0,4,2022-11-14,25000000.0,Somerville,Massachusetts,United States,Spark Capital|Playground Global|Matrix|iRobot|HP Tech Ventures,Mark Schnittman|Max Makeev,175,"""Hybrid Workplace Video Collaboration Technology""",http://www.owllabs.com/,https://www.linkedin.com/company/owllabs/,3.5,15.0,3.5,20,unknown,0.85,3.8,3.2,0.8,3.7
Wise Systems,"Wise Systems builds autonomous dispatch and routing software that uses machine learning to continuously improve fleet efficiency and customer service across last-mile operations in food, beverage, courier, energy, field service, and other markets. Used by some of the world’s largest brands, Wise Systems customers typically see 10-15% mileage reductions, significant increases in fleet utilization, and up to 80% decreases in late deliveries.  The Wise Systems platform applies software-based logic to all orders and makes intelligent, data-driven decisions to optimize both fleet performance and customer service — processing millions of data points and making thousands of real-time decisions that would be impossible for even the most experienced human dispatcher. The system automatically schedules routes, monitors routes in progress, and intelligently adjusts to day-of delays on the ground. The company was founded out of the MIT Media Lab and Center for Transportation Logistics in 2014 and is headquartered in Boston, Massachusetts.",2014,73050659.0,8,2021-10-06,50000000.0,Cambridge,Massachusetts,United States,Techstars|Dynamo|S32|E14 Fund|Right Side Capital Management,Ali Kamil|Chazz Sims|Jemel Derbali|Layla Shaikley,75,"""AI-Driven Last-Mile Delivery Optimization Software""",http://www.wisesystems.com/,https://www.linkedin.com/company/wise-systems---logistics-solutions/,0.1,15.0,3.5,10,unknown,0.85,4.0,3.5,0.5,3.0
Morning Consult,"Morning Consult is a global decision intelligence company changing how modern leaders make smarter, faster, better decisions. The company pairs its proprietary high-frequency data with applied artificial intelligence to better inform decisions on what people think and how they will act. It was founded in 2014 and headquartered in Washington, District of Columbia.",2014,91030000.0,4,2021-06-08,60000000.0,Washington,District of Columbia,United States,Advance Venture Partners|Susquehanna Growth Equity|Lupa Systems|Phil Bronner,Alex Dulin|Kyle Dropp|Michael Ramlet,375,"""AI-Driven Consumer Insights and Decision Analytics""",https://morningconsult.com/,https://www.linkedin.com/company/morning-consult/,0.42,53.65,3.5,10,growth,0.85,4.2,3.8,0.5,3.5
Textio,Textio helps companies hire and retain diverse teams by eliminating bias in the most critical moments across the talent lifecycle. Textio gives organizations the tools to build high-performing teams by attracting diverse talent and supporting their career growth.,2014,42499972.0,5,2022-01-04,999972.0,Seattle,Washington,United States,Industry Ventures|Scale Venture Partners|Emergence Capital|Bloomberg Beta|Cowboy Ventures,Jensen Harris|Kieran Snyder,75,"""AI-Driven Diversity Recruitment and Retention Solutions""",https://textio.com/,http://www.linkedin.com/company/textio,0.2,25.0,2.5,10,unknown,0.85,3.0,2.5,0.15,2.8
Polarr,"Polarr develops offline artificial intelligence technology for photography, video, and other creative use cases to provide developers with tools and resources to create applications that enable and make creations.",2014,13500000.0,3,2019-03-14,11500000.0,San Jose,California,United States,Pear VC|Cota Capital|Threshold|ZhenFund|StartX (Stanford-StartX Fund),Borui Wang|Derek Yan|Enhao Gong,30,"""AI-Driven Creative Media Editing Solutions""",https://www.polarr.com/,http://www.linkedin.com/company/polarr-co/,0.1,10.0,3.0,10,unknown,0.85,3.5,3.0,0.05,2.5
One Model,"One Model is a comprehensive people analytics platform that helps organizations unlock the full value of their workforce data. By integrating disparate HR systems—from core HRIS to talent, performance, and engagement platforms—One Model provides a unified data foundation for meaningful analysis. With robust data engineering capabilities, One Model automates the transformation, modeling, and normalization of people data, enabling users to focus on insights rather than wrangling spreadsheets. The platform includes advanced analytics, customizable dashboards, predictive modeling, and even ethical AI capabilities to forecast outcomes and support better talent decisions. Whether you’re tackling workforce planning, diversity reporting, retention analysis, or executive reporting, One Model empowers HR teams, people analysts, and business leaders with clear, actionable insights. Designed for flexibility, transparency, and scale, One Model gives you full control over your data and models—no black boxes, no vendor lock-in. From quick wins to enterprise-wide transformation, One Model is your partner in building a data-driven HR function that drives business imp OneModel was launched in November 2014 and is based in Austin, Texas, United States.",2014,44818000.0,5,2023-08-07,41000000.0,Austin,Texas,United States,Techstars|Riverwood Capital|Right Side Capital Management|AV8 Ventures|Queensland Investment Corporation,Chris Butler|David Wilson|Matthew Wilton,175,"""People Analytics and Workforce Data Integration Platform""",https://www.onemodel.co/,https://www.linkedin.com/company/onemodel,0.5,15.0,3.5,10,unknown,0.85,4.0,3.5,0.1,3.0
Proscia,"Proscia develops a digital pathology platform to assist routine pathology operations, enhance cancer diagnosis, and improve patient outcomes. Its platform utilizes computing technologies that unlock hidden data not visible to the human eye and turn that data into valuable insights to help physicians accelerate the development of life-saving advances.",2014,130517470.0,8,2025-03-19,50000000.0,Philadelphia,Pennsylvania,United States,Insight Partners|Fusion Fund|Hitachi Ventures|Scale Venture Partners|Flybridge,Coleman Stavish|David West|Nathan Buchbinder,175,"""AI-Driven Digital Pathology Solutions for Oncology""",https://www.proscia.com/,https://www.linkedin.com/company/proscia,0.15,10.0,3.5,10,unknown,0.85,4.0,3.5,0.1,3.0
Affinity,"Affinity is a relationship intelligence platform built to expand and evolve the traditional CRM. Affinity instantly surfaces all of your team's data and shows you who is best suited to make the crucial introductions you need to close your next big deal. Using AI and natural language processing, Affinity helps your team curate and grow its network by unlocking introductions to decision makers and auto-populating your pipeline to increase deal flow. -- Leverage your network: Map out your team's relationship graph to most effectively source the next big deal --  VCs, level up your portfolio: Ally with your portfolio companies and discover how you can introduce them to key prospects and help them raise their next round -- Startups, get the intro: Map out your team's relationship graph. Discover the entire rolodex of prospects your investors and advisors are connected to and unearth valuable introductions -- Reduce complexity: Get rid of spreadsheets for contact management and receive instant updates related to your pipeline as your team works -- Effectively manage pipeline: Keep track of meetings, manage follow-ups, and receive instant updates related to your pipeline as your team works It's time to adopt a CRM that makes your job easier and maximizes your team and investor's most valuable asset - their networks. Affinity has raised $13.5MM led by 8VC (Joe Lonsdale: Palantir, Addepar, OpenGov), Sway Ventures, Pear Ventures, Great Oaks Venture Capital & Western Technology Investment.",2014,120000000.0,5,2021-09-09,80000000.0,San Francisco,California,United States,Menlo Ventures|Pear VC|8VC|MassMutual Ventures|Next Play Capital,Drew Oetting|Ray Zhou|Shubham Goel,375,"""AI-Driven Relationship Management and Networking Solutions""",https://affinity.co/,https://www.linkedin.com/company/project-affinity/,2.9,12.0,3.5,25,unknown,0.85,4.0,3.5,0.5,3.8
Envisagenics,"Envisagenics focus on the discovery of RNA therapeutics. Their mission is to reduce the complexity of biomedical data to accelerate the development of innovative therapeutic solutions through RNA splicing analytics and artificial intelligence.  Over 30 million people in the US suffer from genetic diseases or cancer that could be caused by mutations affecting RNA splicing. 370 human diseases are known to be caused by splicing errors, and more remain to be discovered. Their breakthrough technology, SpliceCore, is a cloud-based platform that is experimentally validated to predict drug targets and biomarkers through splicing discovery from RNA-seq data, using Artificial Intelligence. We are using our software to identify splicing errors causative of diseases, identify the right drug targets, and develop RNA therapeutics through partnerships and collaborations with Biopharma. Their in-silico RNA therapeutics discovery platform replaces expensive drug-target selection and lead design with efficient computer simulations, decreasing time, cost, and failure risk of drug development programs. Envisagenics was founded in 2014 as a spinout of Cold Spring Harbor Laboratory.",2014,52056626.0,14,2024-06-04,25000000.0,Long Island City,New York,United States,Madrona|Bristol-Myers Squibb|National Institutes of Health|Red Cell Partners|SV Angel,Maria Luisa Pineda|Martin Akerman,30,"""AI-Driven RNA Therapeutics Discovery Platform""",http://envisagenics.com/,https://www.linkedin.com/company/envisagenics/,0.5,20.0,3.5,10,growth,0.85,4.0,3.5,0.5,3.0
Opentrons,"Opentrons is a developer of pipetting robot technology designed to automate experiments. Their technology is automated laboratory equipment that automates experiments by using the Python language, enabling scientific researchers to make the process faster and less tiresome.",2014,240034056.0,8,2021-09-23,200000000.0,Brooklyn,New York,United States,Khosla Ventures|Y Combinator|SOSV|Fifty Years|SoftBank Vision Fund,Eva Boratto|Nicholas Wagner|Will Canine,175,"""Automated Laboratory Robotics for Scientific Research""",http://www.opentrons.com/,https://www.linkedin.com/company/opentrons-labworks-inc.,1.5,10.0,3.5,15,unknown,0.85,4.0,3.5,0.5,3.0
Brightflag,"Brightflag is a legal technology company that provides a legal spend management and matter management platform for corporate legal teams. The company's platform is designed to help corporate legal departments manage legal spend, streamline matter management, and enhance collaboration with outside counsel. It also leverages artificial intelligence to automate invoice review processes, offering real-time visibility into legal work and expenditures. Brightflag's AI reads each invoice line item, classifies the work performed, and ensures compliance with billing guidelines, thereby reducing manual review time and controlling costs. In addition to e-billing, Brightflag offers features such as matter management, budgeting and financial planning, vendor benchmarking, and reporting tools. These capabilities enable legal teams to gain insights into their operations, forecast expenses, and make data-driven decisions.",2014,39109197.0,7,2020-12-09,28000000.0,New York,New York,United States,Sands Capital Ventures|500 Global|Enterprise Ireland|Wayra|One Peak,Alex Kelly|Ian Nolan,175,"""AI-Driven Legal Spend Management Software""",https://brightflag.com/,https://www.linkedin.com/company/brightflag,0.15,28.0,2.5,10,unknown,0.85,3.0,2.5,0.15,2.8
FourKites,"As the leader in AI-driven supply chain transformation, FourKites pioneered the Intelligent Control Tower™ powered by the world’s largest real-time visibility network. Our platform creates comprehensive digital twins of your supply chain with AI-powered digital workers to automate resolution, improve collaboration and drive outcomes across all stakeholders. Unlike traditional control towers, we enable true real-time execution and intelligent fulfillment, transforming both your supply and customer-facing operations.",2014,241500000.0,8,2022-09-27,10000000.0,Chicago,Illinois,United States,Bain Capital Ventures|FedEx|Hyde Park Venture Partners|THL|August Capital,Arun Chandrasekaran|Mathew Elenjickal,750,"""AI-Driven Supply Chain Visibility and Automation Solutions""",https://www.fourkites.com/,https://www.linkedin.com/company/fourkites-inc/,0.3,20.0,3.5,15,growth,0.85,3.8,3.2,0.15,3.7
Veritone,"Veritone (NASDAQ: VERI) builds human-centered enterprise AI solutions. Serving customers in the media, entertainment, public sector and talent acquisition industries, Veritone’s software and services empower individuals at the world’s largest and most recognizable brands to run more efficiently, accelerate decision making and increase profitability. Veritone’s leading enterprise AI platform, aiWARE™, orchestrates an ever-growing ecosystem of machine learning models, transforming data sources into actionable intelligence. By blending human expertise with AI technology, Veritone advances human potential to help organizations solve problems and achieve more than ever before, enhancing lives everywhere. To learn more, visit Veritone.com.",2014,414075000.0,9,2025-06-30,1000000.0,Irvine,California,United States,US Department of Energy|Miramar Ventures|Esousa Group Holdings|Acacia Research|Checketts Partners Investment Fund,Chad Steelberg|Ryan Steelberg,750,"""Enterprise AI Solutions for Media and Government""",https://www.veritone.com/,https://www.linkedin.com/company/veritone-inc-,0.5,20.0,3.5,15,growth,0.85,4.0,3.5,0.5,3.0
Novi Labs,"Novi builds artificial intelligence driven business applications that help the Oil & Gas industry optimize the economic value of drilling programs. Discover pre-drill insights in production, completions and geological data. Their machine learning and advanced analytics software is designed for petroleum engineers to optimize shale field development planning. Experiment with data, not the drill bit.",2014,42000000.0,3,2025-06-25,35000000.0,Austin,Texas,United States,Invictus Growth Partners|Montrose Lane|Bill Wood Ventures,Jon Ludwig,30,"""AI-Driven Oil & Gas Optimization Software""",http://www.novilabs.com/,https://in.linkedin.com/company/novi-labs,0.8,13.5,3.8,18,unknown,0.85,4.2,3.7,0.3,3.5
Veea,"At Veea, we're dedicated to simplifying the journey towards a smarter, more connected world via Edge Computing. Headquartered in New York City, our team combines deep expertise in content delivery, edge computing, and advanced wireless technologies. With a rich history of innovation and over 100 patents in key tech areas, Veea stands at the forefront of edge computing. We don't just provide technology solutions; but are committed to transforming connectivity from the device edge inwards, reshaping how data is processed, secured, and leveraged for a smarter future.",2014,15000000.0,1,2024-09-16,15000000.0,New York,New York,United States,,Allen Salmasi|Michael Salmasi,75,"""Edge Computing Solutions for Intelligent IoT Applications""",https://www.veea.com/,https://www.linkedin.com/company/veea/,0.5,30.0,3.5,15,growth,0.85,3.8,3.2,0.3,3.5
HiLabs,"They believe that the no one knows healthcare data better than the healthcare organizations that create it. However, healthcare organizations often lack the tools to generate insights from this data. Statisticians, data scientists and technology gurus can create tools, but these tools have no value until merged with the valuable domain knowledge that only healthcare organizations possess. They empower healthcare organizations with data science tools to leverage their deep domain knowledge and generate novel insights from their data.",2014,39000000.0,2,2024-03-14,39000000.0,Olney,Maryland,United States,Denali Growth Partners|F-Prime|Eight Roads Ventures|Season Two Ventures,Amit Garg|Neel Butala,175,"""Healthcare Data Analytics and Insight Generation Tools""",http://www.hilabs.com/,https://www.linkedin.com/company/hilabsinc,3.5,25.0,4.2,25,growth,0.85,4.5,4.0,2.1,4.0
