name,description,founded_year,funding_total_usd,funding_stage,founders,investors,categories,city,region,country,sector,website,linkedin_url,crunchbase_url,source_url,extraction_date,market_size_billion,cagr_percent,timing_score,competitor_count,market_stage,confidence_score_market,us_sentiment,sea_sentiment,total_funding_billion,momentum_score
Context,"Context imports the company’s knowledge and creates an AI guru to answer questions, retrieve information, and deliver insights.",2012,7000000.0,pre_seed,Joel Martin|Samuel Heutmaker,"Founders, Inc.",Predictive Analytics|Data Science,,,,"""AI-Driven Predictive Analytics for Business Insights""",https://usecontext.io/,,https://www.crunchbase.com/organization/context-960d,https://venturebeat.com/entrepreneur/context-relevant-raises-7m-for-worlds-fastest-predictive-analytics-engine/,2025-07-23 05:34:57.124691,1.2,23.1,4.0,15,growth,0.85,4.3,3.8,0.5,3.8
WellSaid Labs,"WellSaid Labs is a developer of art text-to-speech technology that creates life-like synthetic voices, from the voices of real people.",2018,10000000.0,series_a,Matt Hocking|Michael Petrochuk,Fuse|Qualcomm Ventures|Voyager Capital|Good Friends,AI|NLP|Speech Synthesis,,,,"""AI-Driven Speech Synthesis and Voice Generation Solutions""",https://wellsaidlabs.com,https://www.linkedin.com/company/wellsaidlabs/,https://www.crunchbase.com/organization/wellsaid-labs,https://techcrunch.com/2023/05/10/ai2-incubators-new-30m-fund-triples-down-on-early-stage-ai-startups/,2025-07-23 05:35:17.434140,0.5,24.0,4.0,10,growth,0.85,3.8,3.5,0.3,3.5
Qurrent,Qurrent empowers enterprises to lead their AI transformations.,2018,,pre_seed,August Rosedale|Colin Wiel|Mats Lindelöw,Kalei Ventures,AI|Workforce Management,San Francisco,CA,USA,"""AI Workforce Management Solutions for Businesses""",https://qurrent.ai,https://www.linkedin.com/company/qurrent-ai,https://www.crunchbase.com/organization/qurrent-be19,https://www.reuters.com/press-releases/qurrent-redefines-ai-adoption-with-custom-ai-workforces-delivering-real-business-impact-2025-03-12/,2025-07-23 05:35:36.798523,1.2,15.0,3.5,15,unknown,0.85,3.8,3.2,0.8,3.7
AKtive,"Aktive is a medical device manufacturer that makes needles, disposable and reusable sleeves, eye shields, and tweezers.",1999,,,Adam Tilton Ph.D|Shane Ghiotto,,AI|Machine Learning|Edge Computing,Chicago,IL,USA,"""AI-Enhanced Edge Computing Solutions for Sensor Optimization""",https://www.aktive-corp.com,,https://www.crunchbase.com/organization/aktive,https://pitchbook.com/profiles/company/437525-20,2025-07-23 05:35:49.568307,0.3,25.0,3.5,10,growth,0.85,3.8,3.2,0.15,3.7
Tastebud,Tastebud creates mobile apps that drive sales at brick-and-mortar shopping centers.,2014,1775000.0,seed,Frank Yang|Tyler Spalding|Chris Walti|Brian Hawkins,Kapor Capital|Listen|Jumpstart Ventures|Wayne Boulais|Mike Collett,Retail Technology|Mobile Apps,,,,"""Mobile Apps for Retail Customer Engagement Solutions""",http://www.tastebud.co,https://www.linkedin.com/company/tastebud-technologies,https://www.crunchbase.com/organization/tastebud,https://angel.co/company/tastebud-tech,2025-07-23 05:35:58.526723,5.8,18.0,4.5,15,growth,0.85,4.5,4.0,0.8,4.2
Caterva,"Caterva, a development stage company, intends to develop a real-time social marketing platform.",2015,1804250.0,series_a,Hieu Le,Serra Ventures|Rpm Ventures|Illinois Ventures,Digital Media|Social Media|Machine Learning|Big Data,Chicago,Illinois,United States,"""AI-Driven Engagement Automation Solutions for Websites""",http://www.caterva.com,,https://www.crunchbase.com/organization/caterva,https://angel.co/company/caterva,2025-07-23 05:36:08.294891,0.8,20.0,3.5,15,growth,0.85,3.8,3.2,0.5,3.7
CancerIQ,CancerIQ provides a precision prevention platform that empowers community-based providers to prevent cancer.,2013,20000000.0,private_equity,Feyi Olopade|Haibo Lu|Moe Alkhafaji|Olufunmilayo Olopade,Lightbank|Decathlon Capital Partners|Impact Engine|Healthx Ventures|Osf Ventures,healthcare|genetics|digital health,,,,"""Digital Health Solutions for Genetic Testing Accessibility""",http://www.canceriq.com/,http://www.linkedin.com/company/cancer-iq-inc-,https://www.crunchbase.com/organization/canceriq,https://angel.co/company/canceriq,2025-07-23 05:36:19.563093,1.2,20.0,3.5,10,growth,0.85,3.8,2.5,0.5,3.0
Atomic Canyon,"Atomic Canyon AI application is intended for use in and by nuclear power plants, national and government laboratories.",2024,7000000.0,seed,Kristian Kielhofner|Trey Lauderdale,"Plug And Play|Energy Impact Partners|Wischoff Ventures|Tower Research Capital, Llc.|Commonweal Ventures",AI|Energy|Nuclear,California,,USA,"""AI-Driven Nuclear Licensing Optimization Solutions""",https://atomic-canyon.com,https://www.linkedin.com/company/atomic-canyon,https://www.crunchbase.com/organization/atomic-canyon,https://www.axios.com/2024/03/12/artificial-intelligence-nuclear-power,2025-07-23 05:36:33.257293,0.1,15.0,3.5,5,unknown,0.85,3.8,3.5,0.3,3.0
CaptureProof,CaptureProof is a HIPAA compliant solution for patients & providers to communicate through sharing of photo/video with the entire care team.,2012,1200000.0,seed,Meghan Conroy,Techstars|Liquid 2 Ventures|Right Side Capital Management|Visionnaire Ventures|Bbg Ventures,,,,,"""Secure Telehealth Photo and Video Sharing Solutions""",http://www.captureproof.com,http://www.linkedin.com/company/captureproof,https://www.crunchbase.com/organization/captureproof,https://venturebeat.com/2013/04/25/techstars-chicago-inaugural-class-targets-fitness-parental-controls-and-dating/,2025-07-23 05:36:48.948479,0.3,20.0,3.5,10,growth,0.85,3.8,3.2,0.15,3.7
GoodApril,GoodApril is a TechStars-backed tax planning startup.,2013,10059000.0,seed,Mitch Fox|Benny Joseph|Mitchell Fox,Techstars|Right Side Capital Management,FinTech|Tax Technology,,,,"""Tax Optimization Technology for Individuals and Businesses""",http://goodapril.com/,https://www.linkedin.com/company/goodapril/,https://www.crunchbase.com/organization/goodapril,https://venturebeat.com/entrepreneur/goodapril-intuit/,2025-07-23 05:36:59.549525,8.0,10.0,4.0,15,unknown,0.85,4.2,3.5,1.0,3.8
LawnStarter,LawnStarter is an online marketplace that provides lawn maintenance and outdoor services for consumers and lawn care professionals.,2013,9362750.0,series_unknown,Steven Corcoran|Jonas Weigert|Ryan Farley|Steve Corcoran,Techstars|Edison Partners|Right Side Capital Management|Lerer Hippeau|Binary Capital,Lawn Care|Service Management,Austin,Texas,United States,"""Mobile Lawn Care Management Software Solutions""",http://lawnstarter.com,http://www.linkedin.com/company/3280182,https://www.crunchbase.com/organization/lawnstarter,https://venturebeat.com/entrepreneur/techstars-grad-lawnstarter-bags-1m-from-gary-vaynerchuk-others/,2025-07-23 05:37:11.554235,50.0,8.0,3.5,15,unknown,0.85,3.8,2.5,0.5,3.0
Jukely,"Jukely is a club that grants its members daily guestlist access to hundreds of concerts, parties, and DJ sets every month.",2012,6959000.0,undisclosed,Bora Celik|Andrew Cornett,Northzone|Techstars|Right Side Capital Management|Marc Bell Ventures|Archangel,Music|Entertainment,New York City,NY,USA,"""Subscription-Based Live Event Access Platform""",http://jukely.com,https://www.linkedin.com/company/jukely,https://www.crunchbase.com/organization/jukely,https://venturebeat.com/entrepreneur/jukely-nabs-2-4m-to-let-nyc-music-lovers-get-unlimited-concert-tickets-for-25-per-month/,2025-07-23 05:37:22.252965,3.5,10.0,3.5,10,unknown,0.85,3.8,2.5,0.5,3.0
43Layers,"43Layers is a marketplace where you can design your own custom gifts, decor and accessories.",2015,,seed,Bj Terry|Emerson Knapp|Tj Ross,500 Global,,,,,"""Custom Event Decoration and Gift Marketplace""",https://www.43layers.com/,https://www.linkedin.com/company/43layers,https://www.crunchbase.com/organization/43-layers,https://techcrunch.com/2015/07/31/heres-the-latest-batch-of-500-startups-companies/?ncid=rss,2025-07-23 05:37:34.215680,7.2,10.8,3.8,18,unknown,0.85,4.0,3.5,0.9,3.7
Speak,The language learning app that gets you speaking,2016,84000000.0,series_c,Connor Zwick|Andrew Hsu,Y Combinator|Accel|Khosla Ventures|Founders Fund|Figma,EdTech|Language Learning|AI,,,,"""AI-Driven Language Learning and Conversational Practice""",https://www.speak.com,https://www.linkedin.com/company/usespeak,https://www.crunchbase.com/organization/speak-3,https://techcrunch.com/2023/08/31/openai-backed-language-learning-app-speak-raises-16m-to-expand-to-the-u-s/,2025-07-23 05:37:42.025935,8.5,18.0,4.0,15,growth,0.85,3.8,4.2,0.9,3.5
Mayvenn,Mayvenn enables stylists to sell products directly to their clients without the upfront costs and burdens of holding inventory.,2013,76000000.0,series_c,Diishan Imira|Taylor Wang,Andreessen Horowitz|500 Global|Serena Ventures|Core Innovation Capital|Mac Venture Capital,,,,,"""Online Marketplace for Hair Extensions and Stylists""",https://shop.mayvenn.com,https://www.linkedin.com/company/mayvenn,https://www.crunchbase.com/organization/mayvenn,https://techcrunch.com/2013/07/24/live-from-the-500-startups-accelerators-sixth-demo-day/,2025-07-23 05:37:53.808523,3.5,10.0,4.0,15,unknown,0.85,3.8,3.2,0.3,3.5
Pathmind,Pathmind helps simulation modelers optimize industrial operations and supply chains with deep reinforcement learning.,2014,17820000.0,series_a,Chris Nicholson,Y Combinator|Sv Angel|Translink Capital|Tencent|Fundersclub,AI|Simulations,,,,"""AI-Driven Simulation and Decision-Making Solutions""",https://pathmind.com,https://www.linkedin.com/company/37560379/,https://www.crunchbase.com/organization/pathmind,https://angel.co/company/pathmind,2025-07-23 05:38:21.194407,1.2,35.0,3.8,15,growth,0.85,3.5,3.0,0.5,3.7
Algorithmia,(Acquired). Algorithmia is a machine learning model deployment and management solution that automates the MLOps for an organization.,2014,38080000.0,series_b,Diego Oppenheimer|Kenny Daniel,Norwest Venture Partners|Madrona|Work Bench|Rakuten|Oup (Osage University Partners),AI|Machine Learning,Seattle,Washington,USA,"""Machine Learning Algorithm Integration Platform""",http://www.algorithmia.com,https://www.linkedin.com/company/algorithmia,https://www.crunchbase.com/organization/algorithmia,https://angel.co/company/algorithmia,2025-07-23 05:38:29.298420,0.5,35.0,3.8,10,growth,0.85,3.5,3.0,0.3,3.5
DeepSeek,DeepSeek is an artificial intelligence software company that focuses on developing open-source large language models (LLMs).,2023,,,Liang Wenfeng,,AI|Generative AI,,,China,"""Generative AI Model Development for Enterprise Applications""",https://www.deepseek.com,https://www.linkedin.com/company/deepseek-ai,https://www.crunchbase.com/organization/deepseek,https://www.siliconvalley.com/2025/03/06/alibaba-launches-deepseek-rival/,2025-07-23 05:38:55.297776,7.8,35.0,4.5,18,early,0.85,4.0,4.3,1.5,4.2
Banter,Banter is a conversational commerce platform designed to bring businesses.,2009,,series_unknown,Joe Beninato,Angellist|Xrc Ventures|Bossa Invest|Fundersclub|Mistral Venture Partners,AI|Conversational Commerce,,,,"""Conversational Commerce and AI-Driven Customer Engagement""",http://banter.ai,https://www.linkedin.com/company/banter-,https://www.crunchbase.com/organization/banter-3,https://venturebeat.com/ai/google-and-apple-are-in-a-tight-race-to-acquire-the-most-promising-ai-startups/,2025-07-23 05:39:08.343000,1.2,20.0,3.5,10,growth,0.85,3.8,3.2,0.5,3.7
Calico,Calico is a research and development startup focused on the biology that controls aging and lifespan.,2013,,seed,Arthur Levinson|Larry Page,Backbone Angels,Biotechnology|Health,Mountain View,California,United States,"""Biotechnology for Longevity and Healthspan Interventions""",http://www.calicolabs.com,https://www.linkedin.com/company/calico-labs,https://www.crunchbase.com/organization/calico,https://www.technologyreview.com/2013/09/18/176407/google-to-try-to-solve-death-lol/,2025-07-23 05:39:19.090138,3.0,7.5,3.5,15,unknown,0.85,3.8,3.2,0.8,3.0
