Organization Name,Organization Name URL,Industries,Headquarters Location,Founded Date,Founded Date Precision,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Description,CB Rank (Organization),Stage,CB Rank (Company),Number of Funding Rounds,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Founders,Founders,Number of Employees,Industry Groups,School Type,School Program,Operating Status,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description
Luma AI,https://www.crunchbase.com/organization/luma-ai,"3D Technology, Artificial Intelligence (AI), Augmented Reality, Generative AI, Video Games, Virtual Reality","Palo Alto, California, United States",2021-07-20,day,157300000,USD,157300000,Luma AI is a generative AI startup that enables users to transform text descriptions into corresponding 3D models.,411,,355,4,2024-12-06,90000000,USD,90000000,157300000,USD,157300000,"General Catalyst, Andreessen Horowitz, NVIDIA, South Park Commons, Amazon",3,13,2,"Alberto Taiuti, Amit Jain",11-50,"Artificial Intelligence (AI), Data and Analytics, Gaming, Hardware, Science and Engineering, Software",,,Active,For Profit,https://lumalabs.ai,https://twitter.com/lumalabsai,,https://www.linkedin.com/company/luma-ai,"Luma AI is a generative AI startup that enables users to transform text descriptions into corresponding 3D models. Luma AI aims to empower individuals to effortlessly capture and immerse themselves in a realistic 3D representation of the world. The mission is to catalyze a significant advancement in how we share memories, explore products, and navigate online spaces. The goal is to propel photos and videos into the realm of mixed-reality, shaping the way we experience a three-dimensional future."
ClickHouse,https://www.crunchbase.com/organization/clickhouse,"Analytics, Artificial Intelligence (AI), Big Data, Database, Software","Palo Alto, California, United States",2021-08-11,day,750000000,USD,750000000,ClickHouse provides an open-source database system for real-time analytical reporting.,629,,546,5,2025-05-29,350000000,USD,350000000,650000000,USD,650000000,"Khosla Ventures, Bessemer Venture Partners, Bond, Lightspeed Venture Partners, Nebius Group",8,20,3,"Aaron Katz, Alexey Milovidov, Yury Izrailevsky",251-500,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,Active,For Profit,https://clickhouse.com,https://x.com/ClickhouseDB,https://www.facebook.com/clickhouseinc,https://www.linkedin.com/company/clickhouseinc,"ClickHouse is an open-source column-oriented database management system that focuses on real-time analytical reporting. It enables users to execute complex SQL queries efficiently, making it suitable for applications that require fast data processing and analysis. The system is particularly effective for big data environments, allowing organizations to manage and analyze large volumes of information seamlessly. ClickHouse supports various data ingestion methods and offers features that facilitate data warehousing and observability. Its architecture is designed to optimize performance and scalability, catering to the needs of sales teams and data analysts seeking actionable insights from their data."
Seekr,https://www.crunchbase.com/organization/seekr-fb2a,"Artificial Intelligence (AI), Internet, Machine Learning, SaaS","Reston, Virginia, United States",2021-02-01,month,164303012,USD,164303012,"Seekr is an AI company that empowers enterprises & government agencies to build accurate, explainable AI solutions ready for critical impact",728,,637,4,2025-06-17,17303012,USD,17303012,119303012,USD,119303012,"AMD Ventures, Danu Venture Group",2,2,1,Pat Condo,101-250,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software",,,Active,For Profit,https://seekr.com,https://twitter.com/seekrscore,,https://www.linkedin.com/company/seekrtechnologies,"Seekr is a privately held Artificial Intelligence (AI) company that provides safe, trustworthy, and transparent AI software solutions to enterprise and government customers. Seekr offers an end-to-end enterprise AI platform with comprehensive AI-ready data preparation, content analysis capabilities, and a toolset to build domain-specific Large Language Models (LLMs) and Agentic AI solutions powered by their data. Seekr models are optimized for various enterprise use cases and run on all leading cloud and hardware providers."
Insomnia Labs,https://www.crunchbase.com/organization/insomnia-labs,"Artificial Intelligence (AI), Blockchain, Enterprise Software, Machine Learning","New York, New York, United States",2021-10-05,day,14200000,USD,14200000,Insomnia Labs provides blockchain solutions that streamline data operations and power critical infrastructure.,766,,671,2,2025-07-09,12000000,USD,12000000,2200000,USD,2200000,"Intrinsic Capital, Kamui Finance, Polygon, Eden Ventures, HBJ Investments",,5,3,"Billy Huang, Jack Cameron, Samuel Ko",11-50,"Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Other, Science and Engineering, Software",,,Active,For Profit,https://www.insomnialabs.io,https://twitter.com/insomnia_labs,,https://www.linkedin.com/company/insomnia-labs,"Insomnia Labs delivers end-to-end blockchain solutions focused on loyalty, data integrity, digital interoperability, and IP tokenization. The company provides a Loyalty+ platform enabling organizations to deploy customizable, points-based reward systems across physical, digital, and virtual channels. Its Data Integrity SDK ensures verifiable, tamper-proof transaction and content records using on-chain proofs. Insomnia Labs also offers interoperable digital solutions that integrate legacy infrastructures, web2 systems, and blockchain environments for seamless operations. Additionally, the firm supports IP and asset tokenization through smart frameworks that manage minting, rights, royalties, and secondary market dynamics. Custom development services are available via Studio packages, Starter, Growth, and Enterprise—to support smart contract creation, front-end and back-end development, UI/UX design, and full blockchain product deployments."
Halcyon,https://www.crunchbase.com/organization/halcyon-d8cf,"Artificial Intelligence (AI), Computer, Cyber Security, Network Security, Software","Austin, Texas, United States",2021-09-20,day,190000000,USD,190000000,Halcyon is an anti ransomware and cyber resilience platform that eliminates the business impact of ransomware.,789,,691,5,2024-11-25,100000000,USD,100000000,184000000,USD,184000000,"Founders Fund, Cisco Investments, Bain Capital Ventures, Dropbox Ventures, Harmony Partners",5,13,2,"Jon Miller, Ryan Smith",101-250,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Information Technology, Privacy and Security, Science and Engineering, Software",,,Active,For Profit,http://www.halcyon.ai,https://twitter.com/HalcyonAi,,https://www.linkedin.com/company/halcyonai,"Halcyon is a cybersecurity business that develops tools to protect enterprise clients from ransomware. It also offers layered ransomware protection that combines pre-execution detection, behavioral modeling, and deception techniques."
Chai,https://www.crunchbase.com/organization/chai-2310,"Apps, Artificial Intelligence (AI), Generative AI, Mobile Apps","Palo Alto, California, United States",2021-01-01,month,55000000,USD,55000000,Chai Is The Leading Platform For Chat AI. More human. Less filters.,855,,751,4,2025-07-02,47000000,USD,47000000,55000000,USD,55000000,"CoreWeave, AMD, Charlie Songhurst, Siqi Chen, Ken Howery",1,8,1,William Beauchamp,11-50,"Apps, Artificial Intelligence (AI), Data and Analytics, Mobile, Science and Engineering, Software",,,Active,For Profit,https://chai-research.com,https://twitter.com/chai_research,https://www.facebook.com/chairesearch/,https://www.linkedin.com/company/chai-research/,"Chai, a social AI platform."
Jasper,https://www.crunchbase.com/organization/jasper-ai,"Artificial Intelligence (AI), Content, Content Marketing","San Francisco, California, United States",2021-01-01,month,131000000,USD,131000000,Jasper is an enterprise AI marketing platform.,859,,754,6,2022-10-18,125000000,USD,125000000,131000000,USD,131000000,"Y Combinator, Insight Partners, Bessemer Venture Partners, IVP, STV",2,20,3,"Chris Hull, Dave Rogenmoser, John Philip Morgan",101-250,"Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Sales and Marketing, Science and Engineering, Software",,,Active,For Profit,https://www.jasper.ai,https://www.twitter.com/heyjasperai,https://www.facebook.com/heyjasperai,https://www.linkedin.com/company/heyjasperai,"Jasper is a global Enterprise AI marketing company with offices in the US, Australia and France. Jasper’s platform enables the world's most innovative companies to reimagine their end-to-end marketing workflows, driving increased brand consistency, efficiency and personalization at scale. Jasper has been recognized as ""one of America's fastest-growing private companies"" by Inc. 5000. Learn more at jasper.ai."
Collate,https://www.crunchbase.com/organization/collate,"Artificial Intelligence (AI), Data Governance, Data Management, Generative AI","Menlo Park, California, United States",2021-09-15,day,10000000,USD,10000000,Collate is an AI-powered platform for agentic data intelligence that automates processes and fosters collaboration among data teams.,912,,797,1,2025-07-15,10000000,USD,10000000,10000000,USD,10000000,"Venrock, Unusual Ventures, Karman Ventures",1,3,2,"Sriharsha Chintalapani, Suresh Srinivas",11-50,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,Active,For Profit,https://www.getcollate.io,https://twitter.com/collatedata,,https://www.linkedin.com/company/collateinc,"Collate utilizes AI agents to help data teams organize their data efficiently and improve its quality. The platform automates governance processes, making data management simpler and more effective for organizations. Collate's data intelligence platform automates processes and fosters collaboration among data teams. It enhances the virtuous cycle through AI tailored for data teams, allowing them to provide the necessary data for AI preparedness. Collate's integrated suite of automated workflows and collaborative workspaces forms a cohesive solution based on the open-source foundation of the rapidly expanding OpenMetadata project."
Predibase,https://www.crunchbase.com/organization/predibase,"Artificial Intelligence (AI), Information Technology, Machine Learning, Software","San Francisco, California, United States",2021-01-01,year,28450000,USD,28450000,"Predibase is an AI company that develops training, fine-tuning, and serving open-source machine learning.",925,,808,2,2023-05-31,12200000,USD,12200000,28450000,USD,28450000,"Felicis, Greylock, Sancus Ventures, Factory, Varun Badhwar",2,10,3,"Devvret Rishi, Piero Molino, Travis Addair",11-50,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",,,Active,For Profit,https://predibase.com,,https://www.facebook.com/people/Predibase-HQ,https://www.linkedin.com/company/predibase,"Predibase provides a low-code, declarative platform for training, fine-tuning, and serving open-source machine learning models. It supports workflows from structured data to multimodal content using frameworks like LoRAX and Turbo LoRA, enabling deployment on serverless managed or private cloud infrastructure. The company’s tools include reinforcement fine-tuning (RFT), pretrained LLM libraries, and a data-science copilot that offers real-time guidance to developers."
Ainnova Tech,https://www.crunchbase.com/organization/ainnova-tech,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Machine Learning","Houston, Texas, United States",2021-11-29,day,10125000,USD,10125000,Ainnova Tech is a health tech company that offers innovative AI platform for early disease detection through retinal images.,940,,823,4,2024-12-08,8000000,USD,8000000,10125000,USD,10125000,"Fuel, PioneerCrest Ventures",2,2,4,"Dr. Lihteh Wu, Rodrigo Herrera, Rodrigo Herrera, Vinicio Vargas",1-10,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",,,Active,For Profit,https://www.ainnovatech.com,,,https://www.linkedin.com/company/ainnovatech/,"Health tech based in Houston, Texas and with offices in Costa Rica and Mexico. Its purpose is to create the future of early disease detection in an accessible way, using its AI platforms with the retina as a new vital sign, for the early detection of diabetic retinopathy, cardiovascular risk, early Alzheimer's and now its new retinal imaging device that is a game changer in the market.  The company has been recognized by Forbes as one of the 30 promising companies of 2024 in Latam, recognized as the best health tech startup at the Florida International Medical Expo and nominated for innovative company of the year by the Arab health 2024 and Dubai. It also has Boston Scientific as a partner and ally in its new spin-off company for cardiovascular risk detection in retinal images."
AIM,https://www.crunchbase.com/organization/aim-03b7,"Artificial Intelligence (AI), Construction, Industrial Automation, Infrastructure, Machine Learning, Mining Technology, Robotics","Bellevue, Washington, United States",2021-01-01,year,91069962,USD,91069962,Scalable earthmoving is not optional. It’s required for our civilization to flourish.,"1,070",,934,3,2025-06-10,50000000,USD,50000000,91069962,USD,91069962,"General Catalyst, Khosla Ventures, Human Capital, MANTIS Venture Capital, Liquid 2 Ventures",,12,2,"Adam Sadilek, Robert Kotlaba",11-50,"Artificial Intelligence (AI), Data and Analytics, Hardware, Manufacturing, Natural Resources, Other, Real Estate, Science and Engineering, Software",,,Active,For Profit,https://aim.vision,,,https://www.linkedin.com/company/aim-intelligent-machines,"AIM = AI autonomy platform for heavy machinery Scalable earthmoving is not optional. It’s required for our civilization to flourish. Critical materials like copper, iron ore, lithium are in short supply and dangerous to mine. One billion people live less than 10 meters above rising oceans, 1 in 6 people live in areas with significant wildfire risk, 43% of critical infrastructure is in disrepair and will cost $2.6T to fix, and pollution from the Manhattan Project is still being cleaned up with a $300B invoice, food production must increase 60% to feed 2050 population, it will take 757 years to remove mines in Ukraine with traditional methods. What do these problems have in common? One, our civilization does not have a feasible way to address challenges of this magnitude. Two, earthmoving is a key part of the solution. Our commercially deployed autonomy product runs a wide range of existing earthmoving machinery (new, older, large, small, any brand). As a result, our customers run their operations at maximum throughput and safety. The AIM platform unlocks tremendous value across mining, construction, and defense. AIM has been built by world-class engineers who developed cutting-edge products Google, Waymo, Tesla & SpaceX. We bring deep expertise in autonomy, robotics, hardware, and advanced AI deployed at scale."
Vermillio,https://www.crunchbase.com/organization/vermillio,"Artificial Intelligence (AI), Content, Content Creators, Software","Chicago, Illinois, United States",2021-01-01,year,16000000,USD,16000000,"Vermillio is an AI platform that allows content creators to style, own, and track their digital creations.","1,116",,974,1,2025-03-03,16000000,USD,16000000,16000000,USD,16000000,"Sony Music Entertainment, DNS Capital",2,2,3,"Dan Neely, Maria Richer, Ryan McHale",11-50,"Artificial Intelligence (AI), Data and Analytics, Media and Entertainment, Science and Engineering, Software",,,Active,For Profit,https://vermill.io,https://twitter.com/vermilliohq,https://web.facebook.com/VermillioHQ?_rdc=1&_rdr#,https://www.linkedin.com/company/vermillio,"Vermillio is an AI platform that allows content creators to style, own, and tracks their digital creations. The company's tools generate content that is authenticated using its proprietary blockchain technology which determines ownership. Vermillio was founded by Dan Neely and is based in Chicago, Illinois."
Metafide,https://www.crunchbase.com/organization/metafide,"Artificial Intelligence (AI), Asset Management, Decentralized Finance (DeFi), Finance, FinTech, Gamification, Gaming, Machine Learning, Software, Trading Platform","Miami, Florida, United States",2021-10-01,month,3275000,USD,3275000,Metafide offers AI-driven predictive games and trading execution.,"1,221",,"1,069",2,2025-07-01,3275000,USD,3275000,3275000,USD,3275000,"Stephen Burnazian, Lax Pichappan, John Tuminello, Hern Kim, Blockchain Founders Fund",1,15,6,"Becky Wang, Frank Bolella, Frank Speiser, Gunnar Link, Kevin Odongo, Matthew Cross",11-50,"Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Financial Services, Gaming, Lending and Investments, Science and Engineering, Software",,,Active,For Profit,https://metafide.io,https://x.com/FIDE_AI,https://www.facebook.com/metafide,https://www.linkedin.com/company/metafide,"Metafide offers global, always-on competitions amongst humans and AI to predict future asset prices and values. The company combines these signals from their for-profit, risk-on games, and integrates this high value signal into market navigable and executable positions for their hedge fund partners.  Fintech, AI, Gamified trading and execution."
Reality Defender,https://www.crunchbase.com/organization/reality-defender,"Artificial Intelligence (AI), Fraud Detection, Identity Management, Network Security","New York, New York, United States",2021-01-01,year,48504000,USD,48504000,Reality Defender is a deep-fake and AI-generated media detection platform that helps to detect AI-generated and manipulated content.,"1,324",,"1,154",7,2025-04-03,,,,48500000,USD,48500000,"Y Combinator, Booz Allen Ventures, BNY, Pioneer Fund, Accenture",5,24,3,"Ali Shahriyari, Ben Colman, Gaurav Bharaj",11-50,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Payments, Privacy and Security, Science and Engineering, Software",,,Active,For Profit,https://realitydefender.com,https://x.com/detectdeepfakes,,https://www.linkedin.com/company/reality-defender,"Reality Defender detects deepfakes and AI-generated media to help mitigate the risks associated with manipulated content.  The platform is designed to detect dangerous AI-generated content across various formats, including audio, video, images, and text, ensuring proactive management of digital media. With a patented multimodal approach, the company detects advanced impersonations in real time and offers flexible deployment options that integrate smoothly into existing infrastructure."
SchoolAI,https://www.crunchbase.com/organization/schoolai,"Artificial Intelligence (AI), Education, Information Services","Lehi, Utah, United States",2021-10-08,day,25000000,USD,25000000,"SchoolAI gives educators the time, data, and tools to design a better, more personalized classroom experience. Free for teachers.","1,700",,"1,492",2,2025-04-02,25000000,USD,25000000,25000000,USD,25000000,"Insight Partners, The General Partnership, NextView Ventures, Peterson Ventures, Graph Ventures",2,6,1,Caleb Hicks,1-10,"Artificial Intelligence (AI), Data and Analytics, Education, Information Technology, Science and Engineering, Software",,,Active,For Profit,https://schoolai.com,,,https://www.linkedin.com/company/getschoolai,"SchoolAI is a classroom with AI-powered tools that helps schools embrace AI tech for students, teachers, and school leaders. The company aims to magnify the humanity in every school, creating tighter relationships between teachers, students, school leaders, and the local community and help schools with professional development to adopt AI to supercharge teachers in their classrooms, empower students for an AI-driven world, and give everyone in the building a more personal experience. Its headquarters is located in Lehi, Utah."
Yoodli,https://www.crunchbase.com/organization/yoodli,"Artificial Intelligence (AI), Information Technology, Real Time, Software, Speech Recognition","Seattle, Washington, United States",2021-01-01,year,20700000,USD,20700000,"Yoodli is an AI-enabled platform that helps individuals enhance their communication skills through private, real-time roleplay coaching.","1,703",,"1,494",3,2025-05-21,13700000,USD,13700000,20700000,USD,20700000,"Madrona, Ascend, Allen Institute for Artificial Intelligence, AI2 Incubator, J4.Ventures",3,12,2,"Esha Joshi, Varun Puri",11-50,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Other, Science and Engineering, Software",,,Active,For Profit,https://www.yoodli.ai,https://twitter.com/yoodli,https://www.facebook.com/yoodliai,https://www.linkedin.com/company/yoodli,"Yoodli is an AI-enabled platform that provides feedback on its users' communication skills. It helps users practice and improve their communication skills without the pressure of an audience. Users can utilize Yoodli to practice various forms of communication, including presentations, challenging conversations, and job interviews, making it a versatile tool for personal and professional development."
Galileo,https://www.crunchbase.com/organization/galileo-154a,"Artificial Intelligence (AI), Big Data, Developer Tools, Generative AI, Machine Learning","San Francisco, California, United States",2021-05-01,day,68100000,USD,68100000,"Galileo.ai is an AI platform that provides services for developing, testing, monitoring, and securing their AI applications.","1,739",,"1,527",3,2024-10-15,45000000,USD,45000000,68100000,USD,68100000,"SentinelOne, Battery Ventures, FPV Ventures, Scale Venture Partners, Walden Catalyst",2,20,3,"Atindriyo Sanyal, Vikram Chatterji, Yash Sheth",101-250,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,Active,For Profit,https://www.galileo.ai,https://twitter.com/rungalileo,,https://www.linkedin.com/company/run-galileo,
