Organization Name,Organization Name URL,Industries,Headquarters Location,Founded Date,Founded Date Precision,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Description,CB Rank (Organization),Stage,CB Rank (Company),Number of Funding Rounds,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Founders,Founders,Number of Employees,Industry Groups,School Type,School Program,Operating Status,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description
Eltropy,https://www.crunchbase.com/organization/eltropy-inc,"Artificial Intelligence (AI), Financial Services, Software","Santa Clara, California, United States",2013-05-01,month,25000000,USD,25000000,"Eltropy is a Credit union and Community bank that offers voice, text messaging, secure chat, and video banking services.","1,289",,"1,126",1,2021-06-16,25000000,USD,25000000,25000000,USD,25000000,"Curql, K1 Investment Management, TruStage Ventures",1,3,2,"Ashish Garg, Chandra Bhople",101-250,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software",,,Active,For Profit,http://www.eltropy.com,https://www.twitter.com/eltropy_inc,https://www.facebook.com/eltropyinc/,https://www.linkedin.com/company/eltropy,"Eltropy enables Financial Institutions to digitally engage in a secure and compliant way via Text, Video, Audio, Secure Chat and Social Messaging. Using our world-class digital communications platform, Credit Unions, Banks, Debt Collectors, Insurance Companies, Lenders and FinTechs can improve operations, engagement and productivity.  Eltropy also integrates with IT systems, such as Symitar and Corelation, and uses Analytics to provide engagement insights."
WEKA,https://www.crunchbase.com/organization/weka-io,"Artificial Intelligence (AI), Cloud Storage, Data Center, Data Management, Software","Campbell, California, United States",2013-11-26,day,415100000,USD,415100000,"WEKA is a global data platform company that delivers a cloud-native, software-based data platform for AI & next-generation workloads","1,356",,"1,184",6,2024-05-15,140000000,USD,140000000,415100000,USD,415100000,"Norwest Venture Partners, NVIDIA, Valor Equity Partners, Cisco Investments, Hewlett Packard Enterprise",5,25,3,"Liran Zvibel, Maor BenDayan, Omri Palmon",251-500,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Internet Services, Science and Engineering, Software",,,Active,For Profit,http://www.weka.io,https://twitter.com/wekaio,https://www.facebook.com/Weka.IO,https://www.linkedin.com/company/weka-io,"WEKA is the AI-native data platform company that is setting the standard for AI infrastructure with the industry’s only cloud and hardware-agnostic software solution for performance-intensive applications. The WEKA® Data Platform delivers unprecedented performance at scale, transforming stagnant data silos into dynamic data pipelines that help enterprise AI, ML, and GPU workloads run faster and more efficiently and providing seamless data access on-premises, in the cloud, at the edge, and in hybrid and multicloud environments. WEKA helps hundreds of the world’s leading enterprises and preeminent research organizations overcome complex data challenges to reach discoveries, insights, and outcomes faster – including 11 of the Fortune 50."
Exiger,https://www.crunchbase.com/organization/exiger,"Artificial Intelligence (AI), Compliance, Information Technology, Legal, Risk Management, SaaS, Software, Supply Chain Management","New York, New York, United States",2013-01-01,year,182000000,USD,182000000,Exiger provides technology-enabled risk and compliance services to help heavily regulated firms.,"1,616",,"1,414",3,2022-08-31,32000000,USD,32000000,80000000,USD,80000000,"Monroe Capital, Carrick Capital Partners",2,2,2,"Michael Beber, Michael Cherkasky",5001-10000,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Professional Services, Science and Engineering, Software, Transportation",,,Active,For Profit,http://www.exiger.com,https://twitter.com/exigerllc,https://www.facebook.com/Exiger,https://www.linkedin.com/company/exiger,"Exiger provides technology-enabled risk and compliance services to help heavily regulated firms, critical infrastructure organizations, defense contractors, financial institutions, and government agencies navigate risk and compliance."
Tredence,https://www.crunchbase.com/organization/tredence,"Analytics, Artificial Intelligence (AI), Consulting, Information Technology","San Jose, California, United States",2013-01-01,year,205000000,USD,205000000,Tredence is a data science solutions provider that offers AI-enabled data strategy solutions.,"1,904",,"1,666",2,2022-12-22,175000000,USD,175000000,205000000,USD,205000000,"Advent International, Chicago Pacific Founders",2,2,3,"Shashank Dubey, Shub Bhowmick, Sumit Mehra",1001-5000,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Professional Services, Science and Engineering, Software",,,Active,For Profit,http://tredence.com,https://www.twitter.com/tredenceinc,https://www.facebook.com/tredenceinc,https://www.linkedin.com/company/tredence,Tredence provides an AI-enabled data strategy solution focusing on the last-mile problem. It bridges the gap between insights delivery and value realization by enabling last-mile adoption of data science.
Knightscope,https://www.crunchbase.com/organization/knightscope-inc,"Artificial Intelligence (AI), Hardware, Predictive Analytics, Robotics, Security","Mountain View, California, United States",2013-04-01,month,113765000,USD,113765000,Knightscope specializes in developing autonomous security robots.,"1,962",,"1,720",25,2025-03-28,1700000,USD,1700000,105890000,USD,105890000,"Plug and Play, NTT DOCOMO Ventures, Sahin Boydas, SeedInvest, UpHonest Capital",3,31,2,"Stacy Dean Stephens, William Santana Li",51-100,"Artificial Intelligence (AI), Data and Analytics, Hardware, Privacy and Security, Science and Engineering, Software",,,Active,For Profit,http://www.knightscope.com,http://twitter.com/iKnightscope,http://www.facebook.com/knightscope,https://www.linkedin.com/company/knightscope-inc-,"Knightscope develops autonomous security robots that predict and prevent crimes. Its technology is a combination of self-driving technology, robotics, and artificial intelligence. It markets the K1 stationary machine, the K3 indoor machine, and the K5 outdoor machine. A K7 multi-terrain four-wheel version is under development."
Iterate.ai,https://www.crunchbase.com/organization/iterate-studio,"Artificial Intelligence (AI), Automotive, Banking, Generative AI, Internet of Things, Machine Learning, Retail, Software","San Jose, California, United States",2013-11-01,day,10697499,USD,10697499,"Enterprise AI platform, dream big build fast","2,073",,"1,817",5,2025-06-12,6400000,USD,6400000,10697499,USD,10697499,"Haatch, Auxier Asset Management LLC., Peter Cobb, Dave Zentmyer, Mike Edwards",2,5,8,"Andrew Wichern, Brian Sathianathan, Gregarious Narain, Igor Shoifot, Joanne Wichern, John Grech, Jon Nordmark, Scott Anderson",51-100,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Financial Services, Internet Services, Lending and Investments, Science and Engineering, Software, Transportation",,,Active,For Profit,https://www.iterate.ai/,https://twitter.com/IterateAI,https://www.facebook.com/iterateAI,https://www.linkedin.com/company/iterateai,"Iterate.ai’s Interplay is an Enterprise AI platform simple, safe, and quick way to build complex AI applications. Enterprises use Interplay to build advanced apps  with modularized pre-built components, then push those apps into production. Interplay supports end-end AI application development from data analytics, computer vision to generative AI. It's used as a rapid application platform by large companies like Circle K, Ulta Beauty, Driven Brands, Pampered Chef, and many others. As an AI platform, it operates Pay-by-Plate (frictionless payments at the gas pump) in Europe, Weapons Detection (to predict robberies), AI-based Chat, online personalization for commerce sites, computer vision applications for damage estimation, and much more. It also helps companies bring AI apps 10X to 17X faster than old ways. We're growing pretty fast and profitable. See Demos and Use Cases at:  https://www.iterate.ai/use-cases https://interplay.iterate.ai/"
Cohesity,https://www.crunchbase.com/organization/cohesity,"Analytics, Artificial Intelligence (AI), Cloud Computing, Cyber Security, Data Center, Data Storage, Information Technology","San Jose, California, United States",2013-07-11,day,955000000,USD,955000000,"Cohesity is a data management technology firm that offers hyper-converged secondary storage solutions for backups, files, and analytics.","2,208",,"1,928",10,2024-12-10,,,,810000000,USD,810000000,"Accel, Sequoia Capital, NVIDIA, Cisco Investments, Haveli Investments",13,41,1,Mohit Aron,1001-5000,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Internet Services, Privacy and Security, Science and Engineering, Software",,,Active,For Profit,https://www.cohesity.com/,https://x.com/cohesity,https://www.facebook.com/cohesity,https://www.linkedin.com/company/cohesity/,"Cohesity is a data management technology company that provides hyper-converged secondary storage solutions for backups, file services, and analytics. With the Cohesity Data Cloud, organizations can secure, manage, and recover data at an enterprise scale while gaining insights through AI capabilities."
Recursion Pharmaceuticals,https://www.crunchbase.com/organization/recursion-pharmaceuticals,"Artificial Intelligence (AI), Biotechnology, Machine Learning, Pharmaceutical, Software, Therapeutics","Salt Lake City, Utah, United States",2013-11-05,day,865376000,USD,865376000,Recursion Pharmaceuticals is a biotech company that develops a drug discovery platform and pipeline with machine learning.,"2,420",,"2,113",19,2024-06-26,200000000,USD,200000000,835350000,USD,835350000,"Menlo Ventures, NVIDIA, Bill & Melinda Gates Foundation, Two Sigma Ventures, Catalio Capital Management",9,38,3,"Blake Borgeson, Chris Gibson, Dean Li",251-500,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",,,Active,For Profit,https://www.recursion.com,https://twitter.com/@RecursionPharma,https://www.facebook.com/RecursionPharma,https://www.linkedin.com/company/recursion-pharmaceuticals,"Recursion is a clinical-stage biotechnology company decoding biology by integrating technological innovations across biology, chemistry, automation, data science, and engineering, with the goal of radically improving the lives of patients and industrializing drug discovery. Central to our mission is the Recursion Operating System, or Recursion OS, that combines an advanced infrastructure layer to generate what we believe is one of the world's largest and fastest-growing proprietary biological and chemical datasets and the Recursion Map, a suite of custom software, algorithms, and machine learning tools that we use to explore foundational biology unconstrained by human bias and navigate to new biological insights which may accelerate our programs. We are a biotechnology company scaling more like a technology company."
Clarifai,https://www.crunchbase.com/organization/clarifai,"Artificial Intelligence (AI), Computer Vision, Data Collection and Labeling, Data Integration, Developer Platform, Machine Learning, Natural Language Processing","Fort Lee, New Jersey, United States",2013-01-01,year,100000000,USD,100000000,"Clarifai's platform supports the full AI development lifecycle; including dataset preparation, model training and deployment.","2,635",,"2,306",3,2021-10-15,60000000,USD,60000000,100000000,USD,100000000,"Menlo Ventures, New Enterprise Associates, Union Square Ventures, Lux Capital, Corazon Capital",3,18,1,Matthew Zeiler,101-250,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Science and Engineering, Software",,,Active,For Profit,https://clarifai.com/,https://twitter.com/clarifai,https://www.facebook.com/Clarifai,https://www.linkedin.com/company/clarifai,"Clarifai is a leading, full-lifecycle deep learning AI platform for computer vision, natural language processing, and audio recognition. We help organizations transform unstructured images, video, text, and audio data into structured data at a significantly faster and more accurate rate than humans would be able to do on their own. Founded in 2013 by Matt Zeiler, Ph.D. Clarifai has been a market leader in AI since winning the top five places in image classification at the 2013 ImageNet Challenge. Clarifai continues to grow with employees remotely based throughout the United States, Canada, Estonia, Argentina & India."
Kontakt.io,https://www.crunchbase.com/organization/kontakt,"Artificial Intelligence (AI), Indoor Positioning, Internet of Things, Location Based Services","New York, New York, United States",2013-04-01,day,68765000,USD,68765000,"Kontakt.io is an AI-powered RTLS platform that tracks indoor movements, improving efficiency in healthcare.","2,637",,"2,308",7,2024-04-16,47500000,USD,47500000,55765000,USD,55765000,"European Investment Bank, Heartcore Capital, Goldman Sachs Asset Management, Credo Ventures, iEurope Capital",4,5,2,"Philipp von Gilsa, Szymon Niemczura",101-250,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Navigation and Mapping, Science and Engineering, Software",,,Active,For Profit,http://kontakt.io,http://twitter.com/kontakt_io,http://www.facebook.com/kontakt.io,http://www.linkedin.com/company/kontakt-io,"Kontakt.io utilizes cloud, AI, and IoT (RTLS) technology to provide inpatient and indoor journey analytics. The company assists businesses in identifying inefficiencies, optimizing resources, enhancing workflows, and fostering a sense of recognition and appreciation among customers and staff."
Avathon,https://www.crunchbase.com/organization/sparkcognition,"Analytics, Artificial Intelligence (AI), Cyber Security, Machine Learning, Software","Pleasanton, California, United States",2013-01-01,year,286581738,USD,286581738,Avathon is an AI technology startup operating a machine learning software to analyze increasingly complex data stores.,"2,736",,"2,397",9,2024-04-13,,,,285875000,USD,285875000,"Temasek Holdings, The Boeing Company, Energize Capital, US Department of Energy, Dalus Capital",11,36,1,Amir Husain,251-500,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software",,,Active,For Profit,https://avathon.com,https://x.com/Avathonai,https://www.facebook.com/people/Avathon,https://www.linkedin.com/company/avathonai,"Avathon is an artificial intelligence technology startup that builds AI technology solutions for industrial applications. A highly awarded company recognized for cutting-edge technology, Avathon develops AI-Powered cyber-physical software for the safety, security, and reliability of IT, OT, and the IoT.  The company's technology is capable of harnessing real-time sensor data and learning from it continuously, allowing for more accurate risk mitigation and prevention policies to intervene and avert disasters. Avathon cognitive software, DeepArmor, is utilized to prevent and detect malware with a high level of accuracy and efficacy by using advanced machine learning and artificial intelligence. They help customers analyze complex data, empower decision making, and transform human and industrial productivity with award-winning machine learning technology and expert teams focused on defense, IIoT, and finance."
Microblink,https://www.crunchbase.com/organization/microblink,"Artificial Intelligence (AI), Computer Vision, Developer Tools, Identity Management, Image Recognition, Machine Learning","Brooklyn, New York, United States",2013-01-01,year,60000000,USD,60000000,Artificial intelligence platform that leverages computer vision and machine learning to bring the benefits of AI to every person on earth.,"2,763",,"2,421",2,2020-12-16,60000000,USD,60000000,60000000,USD,60000000,"Silversmith Capital Partners, Cherubic Ventures",1,2,6,"Damir Sabol, Darren Bassman, Izet Zdralovic, Jurica Cerovec, Patrick Questembert, Sasa Skevin",101-250,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Privacy and Security, Science and Engineering, Software",,,Active,For Profit,https://microblink.com/?utm_source=crunchbase&utm_medium=social&utm_campaign=crunchbase-page-info&utm_content=web-site,http://twitter.com/microblink,http://www.facebook.com/microblink,http://www.linkedin.com/company/microblink,"Microblink is an artificial intelligence platform that leverages computer vision and machine learning to bring the benefits of AI to every person on earth.  We work with enterprises that believe the customer experience is the primary driver of value. With products in digital identity and commerce, Microblink touches hundreds of millions of people every year - over 700M identity documents processed and 3B in individual consumer purchases.  With customers that span 20+ industries and 5 continents, and offices in the US and Europe, Microblink is a global company with local insights."
Techcyte,https://www.crunchbase.com/organization/techcyte-europe-sàrl,"Artificial Intelligence (AI), Big Data, Biotechnology, Computer Vision, Health Care, Image Recognition, Machine Learning, SaaS","Orem, Utah, United States",2013-07-22,day,35400000,USD,35400000,"Techcyte is a clinical pathology and diagnostics platform with solutions for human, veterinary, and environmental labs.","2,793",,"2,448",4,2024-01-10,8400000,USD,8400000,35400000,USD,35400000,"ARUP Laboratories, Zoetis",1,2,4,"Ben Cahoon, Ralph Yarro, Richard Smith, Troy Bankhead",101-250,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Hardware, Health Care, Science and Engineering, Software",,,Active,For Profit,https://www.techcyte.com,https://www.twitter.com/techcyte,https://facebook.com/techcyteai,https://linkedin.com/company/techcyte,"Techcyte is a cloud-based, SaaS provider and world leader in AI-based cellular digital diagnostics. that uses deep learning image analysis to help labs and clinics become more efficient and accurate. The platform is HIPAA compliant, CE marked and supports tests across hematology, cytology, bacteriology and parasitology.  Techcyte's has solutions for human, veterinary and environmental clinics and labs.  Techcyte’s Clinical Pathology AI Platform uses deep machine learning to perform automated analysis of whole slide microscopy images, revolutionizing digital diagnostics for human, animal, and environmental clinics and labs."
CarePredict,https://www.crunchbase.com/organization/carepredict,"Artificial Intelligence (AI), Elder Care, Fitness, Health Care","Plantation, Florida, United States",2013-05-01,month,48690000,USD,48690000,CarePredict develops an AI-driven digital health platform for senior care.,"2,902",,"2,546",7,2023-07-12,29000000,USD,29000000,46190000,USD,46190000,"Las Olas Venture Capital, StartUp Health, HealthTech Capital, Vectr, Aspire Health Partners",4,8,1,Satish Movva,11-50,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software, Sports",,,Active,For Profit,https://www.carepredict.com,https://twitter.com/CarePredict,https://www.facebook.com/CarePredict,https://www.linkedin.com/company/carepredict/,"CarePredict develops an AI-driven digital health platform for senior care. Its patented solution uses advanced remote sensing technologies, deep-machine learning, and user-friendly dashboards to continuously observe, learn, and trigger just-in-time care for seniors. Its sensing technologies permit the autonomous observation and collection of rich data sets about a user’s activities of daily living (ADLs). These rich data sets are then parsed within our deep learning systems to learn the behavior patterns of each senior and identify prescient changes in those patterns. The final predictions and alerts are then served up as actionable wellness insights to caregivers on our automated digital dashboards on browsers and smart devices."
