Organization Name,Organization Name URL,Industries,Headquarters Location,Founded Date,Founded Date Precision,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Description,CB Rank (Organization),Stage,CB Rank (Company),Number of Funding Rounds,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Founders,Founders,Number of Employees,Industry Groups,School Type,School Program,Operating Status,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description
Autonomize AI,https://www.crunchbase.com/organization/autonomize-ai,"Artificial Intelligence (AI), Health Care, Information Technology, Medical","Austin, Texas, United States",2022-02-14,day,32000000,USD,32000000,Autonomize develops AI-powered copilot platforms to organize and summarize unstructured data for healthcare and life sciences professionals.,334,,286,2,2025-06-12,28000000,USD,28000000,32000000,USD,32000000,"Capital Factory, Asset Management Ventures (AMV), ATX Venture Partners, Cigna Ventures, Tau Ventures",4,8,2,"Ganesh Padmanabhan, Kris Nair",11-50,"Artificial Intelligence (AI), Data and Analytics, Health Care, Information Technology, Science and Engineering, Software",,,Active,For Profit,https://autonomize.ai,https://x.com/autonomizeai,,https://www.linkedin.com/company/autonomizeai,"Autonomize develops AI-powered copilot platforms to organize and summarize unstructured data for healthcare and life sciences professionals. The company delivers tools that organize, contextualize, and summarize unstructured medical data—such as charts, authorization requests, care metrics, and clinical research documents—to streamline administrative workflows and support decision-making. It offers a suite of copilots for tasks like prior authorization review, medical chart summarization, HEDIS care-gap analysis, clinical trial planning, and case management. Its platform integrates with major cloud providers, complies with HIPAA and SOC 2 standards, and provides multi-agent orchestration and explainability features."
Figure,https://www.crunchbase.com/organization/figure-b5dc,"Artificial Intelligence (AI), Robotic Process Automation (RPA), Robotics","Sunnyvale, California, United States",2022-01-01,year,854000000,USD,854000000,Figure is an AI robotics company that is building a multi-purpose humanoid form robot.,377,,324,5,2025-05-17,,,,854000000,USD,854000000,"OpenAI, NVIDIA, Microsoft, FJ Labs, Bossa Invest",3,37,1,Brett Adcock,11-50,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software",,,Active,For Profit,https://www.figure.ai,https://twitter.com/_figureai,,https://www.linkedin.com/company/figure-ai,"Figure is an AI robotics company that builds a multi-purpose humanoid form robot. The company has created a humanoid robot with the purpose of being introduced into the workforce to tackle problems such as labor shortages, and undesirable or unsafe jobs, and to assist in global supply chain operations. Figure 01 combines the agility of the human body with advanced AI technology to surpass the capabilities of robots designed for specific tasks. It provides assistance in various sectors including manufacturing, logistics, warehousing, and retail."
Protect AI,https://www.crunchbase.com/organization/protect-ai,"Artificial Intelligence (AI), Cyber Security, Machine Learning, Security, Software","Seattle, Washington, United States",2022-01-01,year,108500000,USD,108500000,Protect AI is a cybersecurity company that helps in managing security risks and defending against AI security threats.,395,,342,3,2024-08-02,60000000,USD,60000000,108500000,USD,108500000,"Samsung Electronics, StepStone Group, Salesforce Ventures, 01 Advisors, Acrew Capital",3,13,3,"Badar Ahmed, Daryan (D) Dehghanpisheh, Ian Swanson",51-100,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software",,,Active,For Profit,https://www.protectai.com,https://x.com/protectaicorp,,https://www.linkedin.com/company/protect-ai,"Protect AI develops security solutions designed for machine learning and artificial intelligence systems. The company offers products that support AI scanning, large language model security, and generative AI red teaming within a unified platform. These tools integrate with existing AI and security workflows to help organizations monitor, test, and manage risks associated with AI models. Protect AI also provides resources to implement MLSecOps practices and align with data security and privacy requirements. Its offerings are used by enterprises aiming to incorporate security throughout the AI lifecycle."
Guardz,https://www.crunchbase.com/organization/guardz,"Artificial Intelligence (AI), Cyber Security, Information Technology, IT Management, Small and Medium Businesses","Miami, Florida, United States",2022-05-01,day,84000000,USD,84000000,Guardz is a cybersecurity company that develops an AI-native unified detection and response platform to protect SME businesses.,404,,349,3,2025-06-09,56000000,USD,56000000,84000000,USD,84000000,"SentinelOne, ClearSky, iAngels, Glilot Capital Partners, Phoenix Financial",3,9,2,"Alon Lavi, Dor Eisner",51-100,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Other, Privacy and Security, Science and Engineering, Software",,,Active,For Profit,https://guardz.com,,https://www.facebook.com/guardzcom,https://www.linkedin.com/company/guardz,"Guardz is a cybersecurity company that develops an AI-native unified detection and response platform to protect small and medium-sized businesses. The platform automatically discovers and monitors user digital footprints and business-critical applications to continuously analyze cybersecurity posture in order to identify and prevent cyber issues such as online fraud, phishing, malware, ransomware, and data breaches, allowing businesses to protect business data and information from third-party attacks and cyber risks."
Slingshot AI,https://www.crunchbase.com/organization/slingshot-ai,"Artificial Intelligence (AI), Cloud Data Services, Software, Web Development","Albany, New York, United States",2022-01-01,year,123000000,USD,123000000,"Slingshot AI provides a cloud-based platform for easy training, deploying, and managing machine learning models.",442,,383,4,2025-07-22,53000000,USD,53000000,123000000,USD,123000000,"Andreessen Horowitz, BoxGroup, Menlo Ventures, Forerunner, Radical Ventures",4,19,1,Neil Parikh,11-50,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software",,,Active,For Profit,https://slingshot.xyz,,,https://www.linkedin.com/company/slingshotai,"Slingshot is an AI research company driven by our mission to exponentially increase global access to mental healthcare. We’re developing technology to help humans feel and perform better, be more connected, and adapt to the future in a time where the demand for mental health support far exceeds providers by 10,000:1, and the large-scale changes ahead are unprecedented. By leveraging AI to delve deep into human psychology, we expect to learn something about human nature that no humans have before, in order to help people change their minds. Based in NYC and London, our cross-disciplinary team of researchers, engineers, and broader mental health experts is dedicated to building tools that empower individuals to take on any challenge that arises."
Zip Security,https://www.crunchbase.com/organization/zip-security-07c3,"Artificial Intelligence (AI), Cyber Security, Network Security, Security","New York, New York, United States",2022-01-01,year,21200000,USD,21200000,Zip Security delivers an AI-driven cybersecurity and compliance platform for security and IT automation for small and mid-sized enterprises.,445,,386,2,2025-07-14,13500000,USD,13500000,21200000,USD,21200000,"General Catalyst, BoxGroup, Human Capital, Ballistic Ventures, MANTIS Venture Capital",3,6,2,"Gabbi Merz, Joshua Zweig",11-50,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software",,,Active,For Profit,https://www.zipsec.com,,,https://www.linkedin.com/company/zipsec,"Zip Security delivers an AI-driven cybersecurity and compliance platform that automates cloud-based identity management, device management, and endpoint threat detection. The platform automates deployment and management of tools like endpoint detection, device and identity management, secure browsing, and compliance frameworks such as SOC‑2 and HIPAA. It integrates with solutions like CrowdStrike, Intune, Jamf, Google Workspace, and Okta, enabling businesses without security teams to maintain effective defenses."
Together AI,https://www.crunchbase.com/organization/together-1a7e,"Artificial Intelligence (AI), Generative AI, Internet, IT Infrastructure, Open Source","San Francisco, California, United States",2022-06-11,day,533500000,USD,533500000,Together AI is a cloud-based platform designed for constructing open-source generative AI and infrastructure for developing AI models.,461,,400,4,2025-02-20,305000000,USD,305000000,533500000,USD,533500000,"General Catalyst, NVIDIA, Alumni Ventures, Emergence Capital, New Enterprise Associates",7,46,4,"Ce Zhang, Chris Re, Percy Liang, Vipul Ved Prakash",101-250,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software",,,Active,For Profit,https://www.together.ai,https://twitter.com/togethercompute,,https://www.linkedin.com/company/togethercomputer,"Together AI is a cloud-based platform designed for constructing open-source generative AI and infrastructure for developing AI models. The company contributes cutting-edge open-source research, models, and datasets to push the boundaries of AI forward. Through its decentralized cloud services, developers and researchers at organizations of various scales are empowered to train, refine, and deploy generative AI models."
Fireworks AI,https://www.crunchbase.com/organization/fireworks-ai,"Artificial Intelligence (AI), Data Management, SaaS, Software","Redwood City, California, United States",2022-10-24,day,77000000,USD,77000000,Fireworks AI is an artificial intelligence inference platform for developing and deploying generative AI systems.,469,,406,2,2024-07-07,52000000,USD,52000000,77000000,USD,77000000,"Sequoia Capital, NVIDIA, MongoDB, Benchmark, AMD",2,10,2,"Dmytro Ivchenko, Lin Qiao",51-100,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,Active,For Profit,https://fireworks.ai,https://twitter.com/thefireworksai,,https://www.linkedin.com/company/fireworks-ai,Fireworks.ai offers a generative AI platform as a service. The company optimizes for rapid product iteration building on top of gen AI as well as minimizing cost to serve.
Sesame,https://www.crunchbase.com/organization/sesame-ai,"Artificial Intelligence (AI), Consumer Electronics, Consumer Software, Software","San Francisco, California, United States",2022-12-01,month,57624975,USD,57624975,Sesame is a voice tech startup focused on developing AI voice assistants that create natural and emotionally resonant conversations.,583,,502,2,2023-11-01,47500000,USD,47500000,57624975,USD,57624975,"Andreessen Horowitz, Spark Capital, Matrix, BIG Ventures",1,4,2,"Ankit Kumar, Brendan Iribe",11-50,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Science and Engineering, Software",,,Active,For Profit,http://www.sesame.com,http://www.x.com/sesame,,https://www.linkedin.com/company/sesameai,"Sesame is a voice tech startup focused on developing AI voice assistants that create natural and emotionally resonant conversations. It focuses on technologies such as natural language processing, machine learning, and computer vision to create applications like personal assistants, healthcare solutions, and customer service chatbots. The company engages in research and development, collaborating with institutions to advance AI responsibly while addressing ethical considerations. Its goal is to improve accessibility and productivity through intelligent systems that adapt to human needs."
Reka AI,https://www.crunchbase.com/organization/reka-ai,"Artificial Intelligence (AI), Generative AI, Information Technology, Software","Sunnyvale, California, United States",2022-07-01,month,170000000,USD,170000000,Reka AI is an AI research and product company that develops multimodal AI solutions to advance science and build generative AI models.,660,,573,2,2025-07-22,110000000,USD,110000000,170000000,USD,170000000,"NVIDIA, Snowflake, Radical Ventures, DST Global, Snowflake Ventures",4,6,5,"Cyprien de Masson d’Autume, Dani Yogatama, Mikel Artetxe, Qi Liu, Yi Tay",11-50,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",,,Active,For Profit,https://reka.ai,https://twitter.com/RekaAILabs,,https://www.linkedin.com/company/reka-ai,"Reka AI is an AI research and product company that develops multimodal AI solutions to advance science and build generative AI models. Its platform helps to read text, images, and tabular data, with more modalities to generate ideas for creative tasks, get answers to basic questions, or derive insights from text and images."
Bee,https://www.crunchbase.com/organization/bee-41ee,"Artificial Intelligence (AI), Generative AI, Mobile Apps","San Francisco, California, United States",2022-01-01,year,7000000,USD,7000000,Bee is an AI developer of a life administration wearable assistant.,672,,585,2,2024-07-29,5500000,USD,5500000,7000000,USD,7000000,"Greycroft, New Wave (VC), EXOR N.V., Banana Capital, Brian Bedol",1,5,1,Maria de Lourdes Zollo,1-10,"Apps, Artificial Intelligence (AI), Data and Analytics, Mobile, Science and Engineering, Software",,,Active,For Profit,https://bee.computer,https://x.com/bee__computer,,https://www.linkedin.com/company/wear-bee/,Bee is an AI developer of a life administration wearable assistant.
Antimetal,https://www.crunchbase.com/organization/antimetal,"Artificial Intelligence (AI), Cloud Infrastructure, Cloud Management, Developer Tools","New York, New York, United States",2022-01-01,year,24300000,USD,24300000,For everything that happens after you deploy.,902,,790,2,2025-06-12,20000000,USD,20000000,24300000,USD,24300000,"Chapter One, Sound Ventures, Buckley Ventures, Framework Ventures, Polygon Ventures",2,25,2,"Matthew Parkhurst, Shreyas Iyer",11-50,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Internet Services, Science and Engineering, Software",,,Active,For Profit,https://www.antimetal.com,https://www.twitter.com/antimetal,,https://www.linkedin.com/company/antimetal,
Eventual,https://www.crunchbase.com/organization/eventual-4cef,"Artificial Intelligence (AI), Cloud Computing, Database, Machine Learning, Open Source","San Francisco, California, United States",2022-01-01,month,30000000,USD,30000000,"Eventual makes processing images, video & audio as easy as SQL. Their platform helps AI companies handle petabytes of multimodal data.",978,,855,3,2025-06-24,20000000,USD,20000000,30000000,USD,30000000,"Citi, Y Combinator, Felicis, Caffeinated Capital, The House Fund",2,9,2,"Jay Chia, Sammy Sidhu",11-50,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software",,,Active,For Profit,https://www.eventualcomputing.com,https://x.com/daftengine,,https://www.linkedin.com/company/eventualcomputing,"Eventual is tackling one of the hardest infrastructure problems in AI: making multimodal data (images, video, audio) as easy to process as SQL tables. While every company races to build AI applications, they're stuck forcing tools designed for bank transactions to handle petabytes of video and images. Our platform eliminates months of infrastructure work, letting developers query massive multimodal datasets with simple Python scripts that automatically scale. Built on our open-source Daft engine, we deliver 10x performance improvements and handle all the messy realities of production AI workloads—from out-of-memory errors to flaky API calls. We're already processing petabytes daily at companies like Amazon, Together AI, and CloudKitchens, powering everything from autonomous vehicles to foundation model training"
Loti,https://www.crunchbase.com/organization/loti,"Artificial Intelligence (AI), Facial Recognition, Machine Learning, Public Safety","Seattle, Washington, United States",2022-04-01,day,22850000,USD,22850000,"Loti uses AI technologies to identify unauthorized uses of individuals' likenesses, including deepfakes and impersonations.","1,081",,945,2,2025-04-15,16200000,USD,16200000,22850000,USD,22850000,"Khosla Ventures, Bling Capital, K5 Global, FUSE, Ensemble VC",2,6,3,"Hirak Chhatbar, Luke Arrigoni, Rebekah Arrigoni",11-50,"Artificial Intelligence (AI), Data and Analytics, Government and Military, Science and Engineering, Software",,,Active,For Profit,https://www.lotiai.com,https://twitter.com/lotiapp,,https://www.linkedin.com/company/goloti,"Loti AI protects major celebrities, public figures, and corporate IP from online threats, specializing in deepfake and impersonation detection. Founded in 2022, the company offers likeness protection, content location and removal, and contract enforcement across the public internet, including social media platforms and adult sites. Loti AI aims to shape a future where individuals maintain effortless control over their digital presence. The platform enhances human uniqueness by enabling users to determine what they share or keep private. The company promotes a vision of personal autonomy in balance with technological advancement, supporting creativity and societal benefit."
Adept AI,https://www.crunchbase.com/organization/adept-48e7,"Artificial Intelligence (AI), Generative AI, Machine Learning, Software","San Francisco, California, United States",2022-01-05,day,415000000,USD,415000000,Adept AI is a machine learning research platform that develops AI systems that enable human-computer collaboration.,"1,173",,"1,024",2,2023-03-14,350000000,USD,350000000,415000000,USD,415000000,"General Catalyst, NVIDIA, Spark Capital, Microsoft, Root Ventures",4,20,4,"Ashish Vaswani, David Luan, Kelsey Szot, Niki Parmar",51-100,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,Active,For Profit,https://adept.ai,https://www.twitter.com/adeptailabs,,https://www.linkedin.com/company/adeptai,"Adept AI is a research and product AI lab that automates software processes for developers. It's similar to robotic process automation (RPA), or software robots that use a combination of automation, computer vision, and machine learning to automate repetitive tasks like filing forms and responding to emails. Adept is creating general intelligence by allowing humans and computers to collaborate creatively."
Augment Code,https://www.crunchbase.com/organization/augment-68db,"Artificial Intelligence (AI), Generative AI, Software, Web Development","Palo Alto, California, United States",2022-01-01,year,252000000,USD,252000000,"Augment Code is an AI-powered platform for software development that provides services for chat, code completions, and guided edits.","1,306",,"1,141",4,2024-11-04,,,,252000000,USD,252000000,"Index Ventures, Lightspeed Venture Partners, Pebblebed, Meritech Capital Partners, Evolution Equity Partners",2,7,3,"Guy Gur-Ari, Igor Ostrovsky, Mike Speiser",51-100,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,Active,For Profit,https://www.augmentcode.com,,,https://www.linkedin.com/company/augmentinc,"Augment puts your team’s collective knowledge—codebase, documentation, and dependencies—at your fingertips via chat, code completions, and suggested edits.  Get up to speed, stay in the flow and get more done. Lightning fast and highly secure, Augment works in your favorite IDEs and Slack.  If, like us, you believe in augmenting and not replacing software developers, join us on our mission to improve software development at scale using AI."
Inflection AI,https://www.crunchbase.com/organization/inflection-ai,"Artificial Intelligence (AI), Chatbot, Generative AI, Information Technology, Machine Learning","Palo Alto, California, United States",2022-01-01,year,1525000000,USD,1525000000,Inflection AI is a public benefit corporation leveraging its world class LLM to build an AI platform focused on the needs of the enterprise.,"1,348",,"1,176",2,2023-06-29,1300000000,USD,1300000000,1525000000,USD,1525000000,"CoreWeave, NVIDIA, Microsoft, Employee Stock Option Fund, Bill Gates",6,8,7,"Ian McCarthy, Karen Simonyan, Mustafa Suleyman, Reid Hoffman, Sean White, Ted Shelton, Vibhu Mittal",51-100,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",,,Active,For Profit,https://inflection.ai,https://x.com/inflectionai,,https://www.linkedin.com/company/inflectionai,"Inflection AI is building the future of enterprise AI. Founded in 2022, the company created one of the world’s most intelligent LLMs called Pi, used by millions of people around the world. In March 2024, Inflection AI was refounded under the leadership of CEO Sean White with a mission to enable people to achieve more by unlocking the full potential of enterprise intelligence."
Overland AI,https://www.crunchbase.com/organization/overland-ai,"Artificial Intelligence (AI), Autonomous Vehicles, Machine Learning, Robotics, Software","Seattle, Washington, United States",2022-01-01,year,42000000,USD,42000000,Overland AI is a manufacturer and developer of autonomous navigation for off-road autonomous vehicles.,"1,626",,"1,422",2,2025-01-13,32000000,USD,32000000,42000000,USD,42000000,"8VC, Shasta Ventures, Pioneer Square Labs, OUP (Osage University Partners), Ascend",2,11,3,"Byron Boots, Greg Okopal, Stephanie Bonk",51-100,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software, Transportation",,,Active,For Profit,https://www.overland.ai,https://x.com/overland_ai_x,,https://www.linkedin.com/company/overland-ai,"Overland AI is a manufacturer and developer of autonomous navigation for off-road autonomous vehicles. Its technology combines machine learning and robotic systems to offer modular software for autonomous navigation of unimproved roads and off-road terrain. The company's autonomy kit and overdrive stack enable ground vehicles to navigate off-road without GPS or direct operator control, while its OverWatch C2 provides commanders with precisely coordinated capabilities that are vital for complex missions to succeed."
