Organization Name,Organization Name URL,Industries,Headquarters Location,Founded Date,Founded Date Precision,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Description,CB Rank (Organization),Stage,CB Rank (Company),Number of Funding Rounds,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Founders,Founders,Number of Employees,Industry Groups,School Type,School Program,Operating Status,Company Type,Website,Twitter,Facebook,LinkedIn,Full Description
Equal Parts,https://www.crunchbase.com/organization/equal-parts-6b05,"Artificial Intelligence (AI), Insurance, InsurTech","Austin, Texas, United States",2025-01-01,year,10000000,USD,10000000,Equal Parts builds next-generation insurance agency.,"9,983",,"8,859",1,2025-04-01,10000000,USD,10000000,10000000,USD,10000000,"Equal Ventures, Max Ventures",2,2,3,"Graham Yennie, Michael Witte, Mike Meller",1-10,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software",,,Active,For Profit,https://www.equalparts.ai/,,,https://www.linkedin.com/company/equalparts/,Equal Parts builds next-generation insurance agency. Equal Parts deploy AI tools to ingest data and provide insights that can assist with cross-selling and upselling.
TectoAI,https://www.crunchbase.com/organization/tectoai,"Artificial Intelligence (AI), Cyber Security, Information Technology","San Francisco, California, United States",2025-04-01,month,800000,USD,800000,Maintaining human superagency over the tectonic shift in technology.,"11,532",,"10,264",1,2025-04-20,800000,USD,800000,800000,USD,800000,Y Combinator,,1,2,"Niosha Afsharikia, Roksana Baleshzar",1-10,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software",,,Active,For Profit,https://www.tecto.ai/,,,https://www.linkedin.com/company/tectoai,"The future of organizations will comprise human workforce and AI employees. Tecto will help companies accelerate hiring AI employees, but with diligence!  - Discovers the AI employees for your workflows  - Evaluates them with structured ""resumes"" (app evals)  - Monitors behavior post “hiring” (deployment)  - And stays ahead of regulatory change and real-world incidents"
Interfere,https://www.crunchbase.com/organization/interfere,"Artificial Intelligence (AI), Developer Tools, Software","San Francisco, California, United States",2025-07-01,month,1700000,USD,1700000,The self-healing layer of the internet,"12,939",,"11,530",1,2025-07-01,1700000,USD,1700000,1700000,USD,1700000,"Y Combinator, Otherwise Fund, Soleio ‎‏‏‎ ‎‎ ‎, Worldbuild",2,4,1,Luke Shiels,1-10,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,Active,For Profit,https://interfere.com,https://x.com/_interfere,,https://www.linkedin.com/company/interfere-inc/,
Eytrix,https://www.crunchbase.com/organization/eytrix,"Artificial Intelligence (AI), Computer Vision, Government, Public Safety, Software","Pasadena, California, United States",2025-03-25,day,29000000,USD,29000000,AI that monitors countless surveillance feeds.,"13,533",,"12,073",2,2025-05-08,26000000,USD,26000000,29000000,USD,29000000,"General Catalyst, Sequoia Capital, Y Combinator, Lux Capital, DCVC",1,6,2,"Erdem Hacisalihoglu, Ethan Lee",11-50,"Artificial Intelligence (AI), Data and Analytics, Government and Military, Hardware, Science and Engineering, Software",,,Active,For Profit,https://eytrix.com,https://x.com/eytrixai,,https://www.linkedin.com/company/eytrix/,"Eytrix enables governments and enterprises to query their security camera systems with ease, using natural language to search past footage (“Find a man with a blue backpack”), set up intelligent alerts (“Alert me if someone climbs over the wall”), and extract meaningful data from video streams (“How many vehicles entered yesterday?”)—all through a seamless, AI-powered interface."
Collate,https://www.crunchbase.com/organization/collate-ed48,"Artificial Intelligence (AI), Document Management, Software","San Francisco, California, United States",2025-01-01,month,30000000,USD,30000000,"Collate creates and streamlines documentation for drug development, medical device, and diagnostic companies.","14,359",,"12,814",1,2025-01-19,30000000,USD,30000000,30000000,USD,30000000,"Y Combinator, First Round Capital, Redpoint, Conviction Embed",1,4,2,"Nate Smith, Surbhi Sarna",1-10,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",,,Active,For Profit,https://collate.com,,,https://www.linkedin.com/company/collate-software,"Collate creates and streamlines documentation for drug development, medical device, and diagnostic companies from concept to market using artificial intelligence. They produce accurate documentation for the life sciences industry, which speeds up innovations that can save lives."
Andus Labs,https://www.crunchbase.com/organization/andus-labs,"Artificial Intelligence (AI), Generative AI, Information Technology","New York, New York, United States",2025-01-01,year,3170000,USD,3170000,Andus Labs is a tech company that offers s a generative development studio for AI.,"17,183",,"15,396",1,2025-07-08,3170000,USD,3170000,3170000,USD,3170000,,,,1,Chris Perry,1-10,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",,,Active,For Profit,https://www.anduslabs.com/,,,https://www.linkedin.com/company/anduslabs/,
ShiftUp,https://www.crunchbase.com/organization/shiftup,"Artificial Intelligence (AI), SaaS, Sales Automation","Phoenix, Arizona, United States",2025-01-01,year,644998,USD,644998,"ShiftUp is a SaaS company that offers an intelligent AI automation platform orchestrates end-to-end sales workflows,","17,476",,"15,665",1,2025-07-14,644998,USD,644998,644998,USD,644998,,,,3,"Ken Valla, Nick Valla, Ryan Adamson",1-10,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Sales and Marketing, Science and Engineering, Software",,,Active,For Profit,https://shiftupai.com/,,,https://www.linkedin.com/company/shiftupai/,
Argus Systems,https://www.crunchbase.com/organization/argus-systems,"Artificial Intelligence (AI), Robotics, Software","San Francisco, California, United States",2025-01-01,year,3000000,USD,3000000,Argus Systems builds data and evaluation infrastructure for robotics and physical AI,"17,572",,"15,753",3,2025-06-23,3000000,USD,3000000,3000000,USD,3000000,"Norwest Venture Partners, Harvard Business School, Maple VC, VetsInTech",1,4,1,Lisa Yan,1-10,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software",,,Active,For Profit,https://argus.systems/,,,https://www.linkedin.com/company/the-argus-systems/,Argus Systems builds data and evaluation infrastructure for robotics and physical AI
Ravical,https://www.crunchbase.com/organization/ravical,"Artificial Intelligence (AI), Insurance, Legal Tech","Belgium, Wisconsin, United States",2025-01-01,year,7300000,EUR,8270896,Ravical assist expert firms in embracing the AI-first future.,"19,969",,"17,955",1,2025-05-21,7300000,EUR,8270896,7300000,EUR,8270896,Lakestar,1,1,,,11-50,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Professional Services, Science and Engineering, Software",,,Active,Non-profit,https://ravical.com/,,,https://www.linkedin.com/company/ravical/,
H3Tech,https://www.crunchbase.com/organization/h3tech-inc,"Artificial Intelligence (AI), Health Care, Software","Atlanta, Georgia, United States",2025-02-02,day,5000000,USD,5000000,H3Tech is a health tech company that offers custom software and AI solutions as well as consulting services for healthcare companies.,"20,421",,"18,368",1,2025-01-01,5000000,USD,5000000,5000000,USD,5000000,,,,,,51-100,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",,,Active,For Profit,https://www.h3t.co/,,,https://www.linkedin.com/company/h3tech/,"The company's experience and services touch all points of the clinician, patient, administration and technology experience. We work with companies across the healthcare landscape - HealthTech companies, providers, payers, life sciences and investors - to improve and accelerate efficiencies and health outcomes. And the H3T team has delivered custom software and AI solutions across all platforms and technologies for some of the most recognized brands in Healthcare. We engage with healthcare clients in multiple ways, from full project outsourcing (where we deliver secure, scalable solutions on time and within budget) to dedicated teams and staff augmentation (where we provide top talent under our or your direction) to C-level consulting from some of the most experienced leaders in the Health Tech industry."
Novaflow,https://www.crunchbase.com/organization/novaflow,"Bioinformatics, Biotechnology, Health Care, Life Science, Software","San Francisco, California, United States",2025-06-14,day,500000,USD,500000,Automating data analysis for life science researchers,"20,510",,"18,449",1,2025-07-15,500000,USD,500000,500000,USD,500000,Y Combinator,,1,,,1-10,"Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",,,Active,For Profit,https://www.novaflowapp.com/,,,https://www.linkedin.com/company/novaflow-ai/,Novaflow is an AI-powered bioinformatics platform that lets life-science researchers upload raw sequencing data and get publication-ready plots in minutes instead of weeks—no code or bioinformatics team required.
General Reasoning,https://www.crunchbase.com/organization/general-reasoning,"Artificial Intelligence (AI), Generative AI, SaaS, Software","San Francisco, California, United States",2025-01-01,year,10904992,USD,10904992,General Reasoning is building universal intelligence,"22,268",,"20,062",1,2025-07-11,10904992,USD,10904992,10904992,USD,10904992,,,,4,"Chengxi Taylor, Kip Parker, Ross Taylor, Thomas Grady",1-10,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,Active,For Profit,https://gr.inc/,https://x.com/GenReasoning,,https://www.linkedin.com/company/general-reasoning/,
Nia,https://www.crunchbase.com/organization/nia-400a,"Artificial Intelligence (AI), Generative AI","San Francisco, California, United States",2025-01-01,month,1500000,USD,1500000,Nia is a platform that develops fully autonomous engineers for the AI era,"22,944",,"20,677",1,2025-05-07,1500000,USD,1500000,1500000,USD,1500000,"Y Combinator, LocalGlobe, Artificial Societies, Heroic Ventures, Ventures Together",1,8,1,Arlan Rakhmetzhanov,1-10,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,Active,For Profit,https://www.trynia.ai,,,https://www.linkedin.com/company/nozomiolabs/,Nia is an AI platform building the next generation of autonomous engineering agents and redefining how developers interact with their codebase.
Heyboss,https://www.crunchbase.com/organization/heyboss,"Artificial Intelligence (AI), Information Technology, Machine Learning, Software","Palo Alto, California, United States",2025-01-01,day,3500000,USD,3500000,"Type your idea, Heyboss builds complete websites and apps in minutes. No coding needed.","23,053",,"20,780",1,2024-08-01,3500000,USD,3500000,3500000,USD,3500000,"Pear VC, Amazon Alexa Fund, OpenAI Startup Fund, Charge Ventures, Andrew Tan",1,5,1,Xiaoyin Qu,11-50,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",,,Active,For Profit,https://www.heyboss.ai,https://www.twitter.com/heybossAI,,https://www.linkedin.com/company/heybossai,"AI engineer for non-coders, backed by OpenAI. Get your personal AI engineer to build apps, websites and games without you writing any code."
Nekuda.ai,https://www.crunchbase.com/organization/nekuda-ai,Artificial Intelligence (AI),"New York, New York, United States",2025-01-01,year,5000000,USD,5000000,Nekuda secure payments SDK that enables AI and software agents to autonomously make real online payments on behalf of users or businesses.,"23,408",,"21,115",1,2025-05-14,5000000,USD,5000000,5000000,USD,5000000,"Madrona Venture Labs, Visa Ventures, American Express Ventures, Paul Klein IV, Shyamal Hitesh Anadkat",1,6,1,Ayal Karmi,1-10,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,Active,,https://nekuda.ai,,,https://www.linkedin.com/company/nekuda,"Nekuda.ai is a secure payments SDK that enables AI and software agents to autonomously make real online payments on behalf of users or businesses. It provides secure storage and injection of payment credentials, instant user authorization through transparent agentic mandates, and built-in compliance and trust guardrails. This infrastructure bridges the gap between human oversight and autonomous agent-driven commerce, allowing seamless, user-approved transactions in consumer and business use cases"
hud,https://www.crunchbase.com/organization/hud,"Artificial Intelligence (AI), Information Technology","San Francisco, California, United States",2025-01-01,year,500000,USD,500000,hud is an evaluations platform for computer use agents across diverse environments and tasks.,"23,638",,"21,327",1,2025-03-12,500000,USD,500000,500000,USD,500000,"Y Combinator, Pioneer Fund, Rebel Fund",1,3,3,"Jay Ram, Lorenss Martinsons, Parth Patel",1-10,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",,,Active,For Profit,https://www.hud.so/,https://x.com/hud_evals,,https://www.linkedin.com/company/hud-ai/,
ChatBlu,https://www.crunchbase.com/organization/chatblu-ai,"Artificial Intelligence (AI), E-Commerce","Dover, Delaware, United States",2025-04-09,day,500000,USD,500000,AI E-Commerce Inventory Management Agent,"23,941",,"21,607",1,2025-06-27,500000,USD,500000,500000,USD,500000,"Matador Ventures Capital,LLC",1,1,,,1-10,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Science and Engineering, Software",,,Active,For Profit,https://chatblu-ai.com,,,https://www.linkedin.com/company/chatblu-ai/,
ElastixAI,https://www.crunchbase.com/organization/elastixai,"Artificial Intelligence (AI), Generative AI, Machine Learning","Seattle, Washington, United States",2025-01-01,year,16000000,USD,16000000,ElastixAI is developing an AI inference platform designed to optimize how large language models are run.,"25,506",,"23,054",1,2025-05-14,16000000,USD,16000000,16000000,USD,16000000,"Liquid 2 Ventures, Tyche Partners, DNX Ventures, FUSE, Catapult Ventures",1,5,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,Active,,https://www.elastix.ai/,,,,
Happyverse,https://www.crunchbase.com/organization/happyverse,"Artificial Intelligence (AI), Consumer Software, Information Technology","San Francisco, California, United States",2025-03-18,day,2000000,USD,2000000,Intelligent AI Avatars,"26,504",,"23,975",1,2025-04-10,2000000,USD,2000000,2000000,USD,2000000,"Village Global, Jeff Dean, Henry Shi, inVest Ventures, Mei AGI",1,6,1,Max Sapo,1-10,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",,,Active,For Profit,https://happyverse.ai,https://x.com/happyverseai,,https://linkedin.com/company/happyverse,"Backed by Village Global, Jeff Dean and other notable angels, Happyverse is developing smart & emotionally aware digital Confidants to support humans across work and life."
HireCade,https://www.crunchbase.com/organization/hirecade,"Artificial Intelligence (AI), Recruiting","Palo Alto, California, United States",2025-02-11,day,250000,USD,250000,"AI-recruiter that conducts the early-stage interview process(Resume review, Voice & Video Interviews) non-stop all day","27,176",,"24,602",1,2025-02-11,250000,USD,250000,250000,USD,250000,Indeed,,1,,,11-50,"Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software",,,Active,For Profit,https://hirecade.com/,,,https://www.linkedin.com/company/hirecade/,"HireCade is an AI-recruiter that conducts the early-stage interview process(Resume review, Voice & Video Interviews) non-stop all day long. You'll only receive prescreened, high-quality candidates, saving you time and helping you find the right talent faster."
Tzafon,https://www.crunchbase.com/organization/tzafon,"Artificial Intelligence (AI), Machine Learning, SaaS","San Francisco, California, United States",2025-01-01,year,4000000,USD,4000000,Tzafon's vision is to broaden the lightcone of awareness by pushing the boundaries of machine intelligence.,"28,794",,"26,103",1,2025-04-21,4000000,USD,4000000,4000000,USD,4000000,"Kakao Ventures, Streamlined Ventures",1,2,,,11-50,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,Active,For Profit,https://www.tzafon.ai/,https://x.com/tzafon_company,,https://www.linkedin.com/company/tzafon/,"Tzafon's vision is to broaden the lightcone of awareness by pushing the boundaries of machine intelligence, striving to extend the frontier of what intelligent systems can perceive, understand, and contribute."
ORO AI,https://www.crunchbase.com/organization/oro-ai,"Artificial Intelligence (AI), Business Intelligence, Data Management","New York, New York, United States",2025-01-01,year,6000000,USD,6000000,"ORO facilitates the transformation of data into advanced forms of intelligence, representing the next generation of analytical capabilities.","30,104",,"27,317",1,2025-04-16,6000000,USD,6000000,6000000,USD,6000000,"NEAR, a16z crypto, 0G, Orange DAO, Delphi Ventures",2,6,,,51-100,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,Active,For Profit,https://www.getoro.xyz/,https://x.com/getoro_xyz,,https://www.linkedin.com/company/oro-ai-xyz/,
Virtual Scale,https://www.crunchbase.com/organization/virtual-scale,"Artificial Intelligence (AI), Infrastructure, Machine Learning, Software, Telecommunications","Miami, Florida, United States",2025-01-01,day,500000,USD,500000,Virtual Scale provides a platform where you can build AI employees that speak and chat to automate your business.,"30,372",,"27,567",2,2025-03-25,375000,USD,375000,500000,USD,500000,Ricardo Gonzalez,1,1,2,"Juan Pablo Sanchez Lorenzo, Patrick Menendez",1-10,"Artificial Intelligence (AI), Data and Analytics, Hardware, Other, Science and Engineering, Software",,,Active,For Profit,https://www.virtualscale.com,https://x.com/virtualscale,https://www.facebook.com/virtualscale,https://www.linkedin.com/company/virtualscaleinc,"Virtual Scale is an automation platform that delivers an infinite workforce of AI employees who speak, type, and build client profiles from every interaction. Our mission is to enable businesses to scale beyond human limits."
mAI Edge,https://www.crunchbase.com/organization/mai-edge,"Advertising Platforms, B2B, Content Marketing, Generative AI, Marketing Automation, SaaS","Newark, Delaware, United States",2025-04-18,day,176700,USD,176700,"mAI is model-agnostic, delivering a semi-agentic AI engine via web to automate fast, always on-brand, campaign-ready ads.","31,337",,"28,459",1,2025-06-06,176700,USD,176700,176700,USD,176700,Gluon Syndicate,1,1,4,"Jeremie Bertolino, Jevgenij Blagonravov, Josef Duda, Mathieu Zylberait",1-10,"Advertising, Artificial Intelligence (AI), Other, Sales and Marketing, Software",,,Active,For Profit,https://maiedge.eu,,,https://www.linkedin.com/company/mai-edge/,"Built for large scale enterprises and international brands, mAI Edge is model-agnostic, packaging a semi-agentic engine in a web-based interface designed to automate campaign-ready advertising: fast, at scale, and always on-brand. Here lies mAI Edge's core differentiator: on-brand fine-tuning, or, how to systematize the allignment of GenAI outputs to each brand’s visual codes, tone of voice, and campaign context."
